corp,year,operating_income,revenue,net_income,outstanding_shares,total_liabilities,total_assets,cash_flow_per_share,sales_per_share,current_assets,current_liabilities,inventory,net_working_capital,non_current_assets,non_current_liabilities
CJ제일제당,2019,896857873000.0,22352462296000.0,191028303000.0,32763238,16799151931000.0,26280632351000.0,65411.59579526297,682242.1610464753,7433652074000.0,8202238119000.0,2018257067000.0,-768586045000.0,18337593130000.0,8596913812000.0
CJ제일제당,2020,1359551440000.0,24245725654000.0,786425538000.0,32763238,15445453188000.0,25611892185000.0,61097.50730376528,740028.3712495083,7431380404000.0,7082673561000.0,1861478883000.0,348706843000.0,18141978711000.0,8362779627000.0
CJ제일제당,2021,1524429392000.0,26289227767000.0,892393213000.0,32763238,16049003859000.0,26855804277000.0,51472.606492679384,802400.1707950844,7695894684000.0,7915867743000.0,2338251516000.0,-219973059000.0,19130203332000.0,8133136116000.0
CJ제일제당,2022,1664708210000.0,30079513121000.0,802674084000.0,32763238,18484219204000.0,30013241845000.0,49668.2627034605,918087.312401784,9759274570000.0,9749512896000.0,3201446372000.0,9761674000.0,20225197721000.0,8734706308000.0
CS홀딩스,2018,13319440370.0,122550868578.0,12641149434.0,2308964,29665433326.0,304418192853.0,4411.571756857188,53076.12789891917,188480772312.0,20778759270.0,27903004598.0,167702013042.0,115937420541.0,8886674056.0
CS홀딩스,2019,17025221715.0,134971514129.0,16603891978.0,2308964,28138799708.0,314291512839.0,8532.427072921015,58455.44327629188,194780328317.0,19134827728.0,28260704466.0,175645500589.0,119511184522.0,9003971980.0
CS홀딩스,2020,15901269821.0,131637084502.0,11835399356.0,2308964,28164318547.0,323725567844.0,8436.169972767007,57011.31957969029,189858508854.0,18974454971.0,31197093858.0,170884053883.0,133867058990.0,9189863576.0
CS홀딩스,2021,19647701659.0,159017955309.0,21065820782.0,2308964,41521127951.0,353716995747.0,3513.91559504609,68869.8287669275,189086292937.0,29190455516.0,45133423248.0,159895837421.0,164630702810.0,12330672435.0
CS홀딩스,2022,15632045335.0,175266452048.0,18788497648.0,2308964,33693421213.0,364121570785.0,7424.9446470365065,75906.96608868739,213280099039.0,22982072997.0,47232515134.0,190298026042.0,150841471746.0,10711348216.0
DB,2018,1620858098.0,237112635578.0,-3975419555.0,402347866,150848167221.0,288416200594.0,16.79360966214246,589.3224635072378,83654777587.0,60507431150.0,8353680593.0,23147346437.0,204761423007.0,90340736071.0
DB,2019,18493009586.0,238505592826.0,4404485641.0,402347866,152166922511.0,363158130330.0,77.06071604714315,592.7845354248753,83915480175.0,59208483421.0,7259676438.0,24706996754.0,279242650155.0,92958439090.0
DB,2020,26874196003.0,272445840062.0,6271086203.0,402347866,158786944335.0,472491491069.0,45.220041778474354,677.1400151082198,88595762921.0,117921289862.0,1431329604.0,-29325526941.0,383895728148.0,40865654473.0
DB,2021,23472667404.0,326914604920.0,21705064303.0,402347866,164214796554.0,601998919354.0,46.19764721207692,812.5173078959489,84468030488.0,50552473976.0,3438672658.0,33915556512.0,517530888866.0,113662322578.0
