표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
"KR7000082008","000087","하이트진로2우선주(신형)","하이트진로2우B","HITEJINRO(2PB)","2011/09/26","KOSPI","주권",,"신형우선주","5000","1130138"
"KR7000080002","000080","하이트진로보통주","하이트진로","HITEJINRO","2009/10/19","KOSPI","주권",,"보통주","5000","70133611"
"KR7000141002","000145","하이트진로홀딩스1우선주","하이트진로홀딩스우","HITEJINROHOLDINGS(1P)","1987/09/29","KOSPI","주권",,"구형우선주","5000","470810"
"KR7000140004","000140","하이트진로홀딩스보통주","하이트진로홀딩스","HITEJINROHOLDINGS","1973/09/19","KOSPI","주권",,"보통주","5000","23206765"
"KR7036460004","036460","한국가스공사보통주","한국가스공사","KoreaGasCorporation","1999/12/15","KOSPI","주권",,"보통주","5000","92313000"
"KR7005430004","005430","한국공항보통주","한국공항","KoreaAirportService","1976/12/28","KOSPI","주권",,"보통주","5000","3166355"
"KR7010040004","010040","한국내화보통주","한국내화","KOREAREFRACTORIES","2000/10/16","KOSPI","주권",,"보통주","500","41067062"
"KR7025540006","025540","한국단자공업보통주","한국단자","KoreaElectricTerminal","1996/10/16","KOSPI","주권",,"보통주","500","10415000"
"KR7010100006","010100","한국무브넥스보통주","한국무브넥스","KOREA MOVENEX CO., LTD.","1987/10/02","KOSPI","주권",,"보통주","1000","30450420"
"KR7004090007","004090","한국석유공업보통주","한국석유","KOREA PETROLEUM INDUSTRIES","1977/06/25","KOSPI","주권",,"보통주","500","12694120"
"KR7002200004","002200","한국수출포장공업보통주","한국수출포장","KoreaExportPackagingIndustrial","1974/06/28","KOSPI","주권",,"보통주","500","40000000"
"KR7002960003","002960","한국쉘석유보통주","한국쉘석유","HankookShellOil","1988/08/10","KOSPI","주권",,"보통주","5000","1300000"
"KR7000240002","000240","한국앤컴퍼니보통주","한국앤컴퍼니","HANKOOK & COMPANY","1968/12/27","KOSPI","주권",,"보통주","500","94935240"
"KR7033270000","033270","한국유나이티드제약 보통주","유나이티드제약","Korea United Pharm. Inc.","2007/10/23","KOSPI","주권",,"보통주","500","16244822"
"KR7123890006","123890","한국자산신탁보통주","한국자산신탁","KAIT","2016/07/13","KOSPI","주권",,"보통주","500","123977752"
"KR7015760002","015760","한국전력공사보통주","한국전력","KoreaElectricPower","1989/08/10","KOSPI","주권",,"보통주","5000","641964077"
"KR7052690005","052690","한국전력기술 보통주","한전기술","KEPCO Engineering & Construction","2009/12/14","KOSPI","주권",,"보통주","200","38220000"
"KR7006200000","006200","한국전자홀딩스보통주","한국전자홀딩스","KEC HOLDINGS","1979/11/30","KOSPI","주권",,"보통주","500","46803136"
"KR7023350002","023350","한국종합기술보통주","한국종합기술","Korea Engineering Consultants Corp.","2011/04/28","KOSPI","주권",,"보통주","500","10950000"
"KR7025890005","025890","한국주강보통주","한국주강","HankookSteel","1997/07/18","KOSPI","주권",,"보통주","500","11309259"
"KR7000970004","000970","한국주철관공업보통주","한국주철관","KoreaCastIronPipeInd","1969/12/12","KOSPI","주권",,"보통주","500","22800500"
"KR7104700000","104700","한국철강보통주","한국철강","KISCO Corp.","2008/09/29","KOSPI","주권",,"보통주","1000","42450000"
"KR7017960006","017960","한국카본보통주","한국카본","HankukCarbon","1995/07/08","KOSPI","주권",,"보통주","500","43960757"
"KR7161890009","161890","한국콜마보통주","한국콜마","KOLMAR KOREA","2012/10/19","KOSPI","주권",,"보통주","500","22881180"
"KR7024720005","024720","한국콜마홀딩스보통주","한국콜마홀딩스","KOLMAR KOREA HOLDINGS","2002/04/09","KOSPI","주권",,"보통주","500","18576719"
"KR7161390000","161390","한국타이어앤테크놀로지보통주","한국타이어앤테크놀로지","HANKOOK TIRE & TECHNOLOGY","2012/10/04","KOSPI","주권",,"보통주","500","123875069"
"KR7034830000","034830","한국토지신탁보통주","한국토지신탁","KOREIT","2016/07/11","KOSPI","주권",,"보통주","1000","252489230"
"KR7152550000","152550","한국투자ANKOR유전해외자원개발특별자산투자회사1호(지분증권)","한국ANKOR유전","KIM ANKOR Oilfield Overseas Resources Development Fund[1]","2012/03/08","KOSPI","투자회사",,"보통주","무액면","70020000"
"KR7168490001","168490","한국투자Parallel유전해외자원개발특별자산투자회사1호","한국패러랠","KIM Parallel Oilfield Overseas Resources Development Fund[1]","2013/04/19","KOSPI","투자회사",,"보통주","무액면","80020000"
"KR7071051007","071055","한국투자금융지주1우선주","한국금융지주우","KOREA INVESTMENT HOLDINGS(1P)","2003/07/21","KOSPI","주권",,"구형우선주","5000","5858251"
"KR7071050009","071050","한국투자금융지주보통주","한국금융지주","KOREA INVESTMENT HOLDINGS","2003/07/21","KOSPI","주권",,"보통주","5000","55725992"
"KR7007280001","007280","한국특강보통주","한국특강","KOREA STEEL","1989/11/13","KOSPI","주권",,"보통주","500","60589598"
"KR7047810007","047810","한국항공우주산업보통주","한국항공우주","KOREA AEROSPACE INDUSTRIES","2011/06/30","KOSPI","주권",,"보통주","5000","97475107"
"KR7123690000","123690","한국화장품보통주","한국화장품","HANKOOKCOSMETICS","2010/06/01","KOSPI","주권",,"보통주","500","16068000"
"KR7003350006","003350","한국화장품제조보통주","한국화장품제조","HankookCosmeticsManufacturing","1978/02/06","KOSPI","주권",,"보통주","500","4532000"
"KR7011500006","011500","한농화성보통주","한농화성","HANNONGCHEMICALSINC.","2003/01/09","KOSPI","주권",,"보통주","500","15637042"
"KR7002390003","002390","한독보통주","한독","HANDOK Inc.","1976/06/30","KOSPI","주권",,"보통주","500","13763533"
"KR7053690004","053690","한미글로벌건축사사무소보통주","한미글로벌","HanmiGlobal Co., Ltd","2009/06/23","KOSPI","주권",,"보통주","500","10957550"
"KR7042700005","042700","한미반도체보통주","한미반도체","HANMISemiconductorCO.,Ltd.","2005/07/22","KOSPI","주권",,"보통주","100","97339302"
"KR7008930000","008930","한미사이언스보통주","한미사이언스","Hanmi Science","1988/06/20","KOSPI","주권",,"보통주","500","69956940"
"KR7128940004","128940","한미약품보통주","한미약품","HanmiPharm","2010/07/30","KOSPI","주권",,"보통주","2500","12562158"
"KR7009240003","009240","한샘보통주","한샘","HANSSEM CO.,LTD.","2002/07/16","KOSPI","주권",,"보통주","1000","23533928"
"KR7020000006","020000","한섬보통주","한섬","HandsomeCorporation","1996/07/03","KOSPI","주권",,"보통주","500","24630000"
"KR7003680006","003680","한성기업보통주","한성기업","HansungEnterprise","1989/01/26","KOSPI","주권",,"보통주","5000","6209515"
"KR7105630008","105630","한세실업보통주","한세실업","HANSAE","2009/03/20","KOSPI","주권",,"보통주","500","40000000"
"KR7069640001","069640","한세엠케이보통주","한세엠케이","HANSAEMK","2011/06/21","KOSPI","주권",,"보통주","500","30106502"
"KR7016450009","016450","한세예스24홀딩스보통주","한세예스24홀딩스","HansaeYes24Holdings","2000/01/06","KOSPI","주권",,"보통주","500","40000000"
"KR7010420008","010420","한솔PNS보통주","한솔PNS","HANSOLPNS","1989/05/31","KOSPI","주권",,"보통주","500","20493012"
