corp,stock_code,sector,year,revenue,cost_of_sales,gross_profit,operating_income,net_income,ebit,ebitda,total_equity,total_assets,total_liabilities,current_assets,current_liabilities,non_current_liabilities,short_borrowing,long_borrowing,cash_and_equivalents,retained_earnings,tangible_assets,intangible_assets,accounts_receivable,inventory,accounts_payable,outstanding_shares,cash_flow_operating,selling_general_administrative_expenses,cash_flow_investing,cash_flow_financing,long_term_assets,interest,tax,stock_price,market_capitalization,borrowings,net_liabilities,cash_flow_per_share
선도전기,007610,전기전자,2022,61893683217.0,62700253325.0,-806570108.0,-16906468362.0,-20444723487.0,-19264899022.0,-16568035903.0,60199397627.0,131739357945.0,71539960318.0,51579796063.0,64665133861.0,6874826457.0,41591508522.0,1105000000.0,7641611517.0,27539587076.0,51818242000.0,6328852232.0,22180786434.0,8182642665.0,7441029668.0,18000000,-5762098184.0,3184661041.0,19974385414.0,-7334114969.0,80159561882.0,1961989406.0,175510040.0,3000.0,54000000000.0,42696508522.0,63898348801.0,-320.1165657777778
선진,136490,음식료품,2018,912407251362.0,757464461362.0,154942790000.0,34806257357.0,18495997523.0,27260683881.0,41284009956.0,331122519560.0,917160519320.0,586037999760.0,414834025713.0,467752358202.0,118285641558.0,0.0,0.0,86547969700.0,214073753889.0,284567900434.0,7404773833.0,139883663581.0,107482083274.0,72979588600.0,23779604,-26140063600.0,120136532643.0,-137890407171.0,217085161061.0,502326493607.0,24871010334.0,16483777482.0,11350.0,269898505400.0,0.0,499490030060.0,-1099.2640415710875
선진,136490,음식료품,2019,1014048908009.0,841593819397.0,172455088612.0,40117084694.0,20262797014.0,32521654539.0,51440659597.0,331292624575.0,983329180416.0,652036555841.0,440294135885.0,507514996172.0,144521559669.0,0.0,0.0,48702650844.0,233226441216.0,360480869374.0,8703975150.0,158889425744.0,121503213157.0,92031655192.0,23779604,15747435097.0,132338003918.0,6628029477.0,-60776156683.0,543035044531.0,31907763448.0,13065022694.0,9390.0,223290481560.0,0.0,603333904997.0,662.22444650466
선진,136490,음식료품,2020,1328758702683.0,1069590795908.0,259167906775.0,107200791187.0,80921205914.0,98172454466.0,121671404465.0,379800981533.0,1186580361513.0,806779379980.0,604434843652.0,680096651635.0,126682728345.0,0.0,0.0,93329298617.0,307375378506.0,422512597596.0,8457567548.0,242559611310.0,135247291061.0,114165017089.0,23779604,113164300762.0,151967115588.0,-78940117233.0,12393009570.0,582145517861.0,37355609233.0,16224634130.0,11300.0,268709525200.0,0.0,713450081363.0,4758.8807938937925
선진,136490,음식료품,2021,1528749761214.0,1269120926594.0,259628834620.0,83449203917.0,31749767666.0,45098088493.0,72522372410.0,414864029622.0,1248892387095.0,834028357473.0,657162042380.0,715144891726.0,118883465747.0,0.0,0.0,118323841045.0,337493439825.0,429653888506.0,7096953991.0,226635782707.0,161844689330.0,117497209603.0,23779604,73158841341.0,176179630703.0,-27605194337.0,-22149687016.0,591730344715.0,43636234223.0,18719741658.0,11500.0,273465446000.0,0.0,715704516428.0,3076.537411682718
선진,136490,음식료품,2022,1870781185636.0,1602322782075.0,268458403561.0,70603246898.0,22969775624.0,41638288840.0,71581737000.0,440621950325.0,1333616177351.0,892994227026.0,718357025915.0,784132676786.0,108861550240.0,0.0,0.0,81697098203.0,361331649745.0,438101294609.0,7404634680.0,237792411915.0,219196266526.0,148760151625.0,23779604,3923980608.0,197855156663.0,-34492978194.0,-3828130087.0,615259151436.0,90251938149.0,14257975401.0,9300.0,221150317200.0,0.0,811297128823.0,165.014548097605
성문전자,014910,전기전자,2018,41332761993.0,35463597302.0,5869164691.0,838209683.0,193399025.0,220554484.0,220554484.0,29362463526.0,43264100900.0,13901637374.0,25583830382.0,12894162714.0,1007474660.0,7246514000.0,0.0,2455322873.0,12270628940.0,12718384527.0,576234226.0,10695870606.0,7510569377.0,3826305592.0,19486857,985379932.0,5030955008.0,-6805300958.0,2355000000.0,17680270518.0,261865619.0,-2094567.0,2645.0,51542736765.0,7246514000.0,11446314501.0,50.566385949258006
성문전자,014910,전기전자,2019,35927661247.0,31926498493.0,4001162754.0,-1554760696.0,-1848787920.0,-1782859053.0,-1782859053.0,27409462707.0,42506306644.0,15096843937.0,22098225335.0,12409433060.0,2687410877.0,5448505138.0,1000000000.0,1929725063.0,10188570594.0,15828334983.0,545861409.0,10700783655.0,7477742373.0,4730317336.0,19486857,2016607091.0,5555923450.0,-1606744030.0,-938502725.0,20408081309.0,418776987.0,12799357.0,2150.0,41896742550.0,6448505138.0,13167118874.0,103.48549748171293
성문전자,014910,전기전자,2020,37882645791.0,33166686796.0,4715958995.0,-634764313.0,-956728053.0,-968915566.0,-968915566.0,26532439754.0,40358769981.0,13826330227.0,23071506133.0,11633828416.0,2192501811.0,4821601507.0,1000000000.0,2480662525.0,9256073473.0,13997271923.0,515241014.0,11169288073.0,6910929772.0,4550326442.0,19486857,502921920.0,5350723308.0,483256157.0,-422226472.0,17287263848.0,331715360.0,-8070310.0,1855.0,36148119735.0,5821601507.0,11345667702.0,25.808262461206546
성문전자,014910,전기전자,2021,49343656972.0,40028114790.0,9315542182.0,3442198787.0,2973542781.0,3484643148.0,3484643148.0,30762423136.0,54386004301.0,23623581165.0,34919302343.0,11739148959.0,11884432206.0,3265075764.0,500000000.0,7289097578.0,12291139335.0,13704745995.0,408214502.0,13125917911.0,7456718206.0,4900425057.0,19486857,3340581861.0,5873343395.0,-7298250531.0,8660632432.0,19466701958.0,516846147.0,547897855.0,2415.0,47060759655.0,3765075764.0,16334483587.0,171.42743239712797
