corp,stock_code,sector,year,ebitda_margin,ebitda_to_interest_expense,debt_ratio,dependence_on_net_borrowings,net_borrowings_to_ebitda,revenue,cogs,selling_general_administrative_expenses,ebit,ebit_margin,ebitda_to_sales_revenue,total_assets,return_on_assets,ebitda,financial_expenses,corporate_tax,operating_cash_flow,free_cash_flow,total_liabilities,total_equity,total_borrowings,net_borrowings,borrowing_dependency,total_borrowings_to_ebitda,debt_to_net_income_ratio,total_assets_leverage,current_liabilities,working_capital,current_liabilities_ratio,quick_assets,quick_ratio,cash_and_cash_equivalents,short_term_borrowings,days_sales_outstanding,market_capitalization,minimum_wage,us_kor_exchange_avg,ppi_year,kor_usa_ir_diff,kr_standard_yield,rank,count,rating,paywellfare,worklifebal,culture,opportunity,manager,recommend,ceo,potential,crb_index_avg
BYC,001460,섬유의복,2018,9.694483901714458,218.2136462548938,81.25307298438568,18.892058005707256,727.2733827594564,197864080352,124040904813,38687251077,19181901417,9.694483901714458,9.694483901714458,738431267101,1.2313192305217444,19181901417,8790422481,3860076605,49052410181,70515691437,331027820118,407403446983,166537425312,139504863313,22.552867508686035,868.2008195725887,3640.69044767763,181.25307298438568,82142589839,7668190224,91.46183763394443,35201272347,42.85386230942404,27032561999,11537425312,11.10550514537991,153655290000,7530,1100.58,103.48,-0.29,1.75,NULL,272,2.24,1.82,3.32,2.26,1.98,1.78,0.65,0.64,0.55,198.61355172413795
BYC,001460,섬유의복,2019,24.482999158016998,494.69873765390435,59.76030228417554,14.126936910392681,234.7028976212722,170589026967,101169466025,36275124513,41765310036,24.482999158016998,24.482999158016998,693882852856,4.004847449626627,41765310036,8442574613,11647125024,18715998757,-23228073503,259555399205,434327453651,112819315869,98024392855,16.259130111752906,270.12684874541657,934.0237816499824,159.76030228417554,109379625182,8942260318,92.44242915821351,72645553337,66.41598306459993,14794923014,56319315869,12.674392344756471,147721447500,8350,1166.11,103.5,-0.56,1.25,NULL,272,2.24,1.82,3.32,2.26,1.98,1.78,0.65,0.64,0.55,187.79354406130267
BYC,001460,섬유의복,2020,17.440617269327795,475.25435601250194,50.02934290121965,5.736443442359093,138.00292555889737,161863377007,93110793721,37823597095,28229972083,17.440617269327795,17.440617269327795,679134863796,2.6924139153740345,28229972083,5939971244,14488793291,35408711119,9220404146,226466838553,452668025243,84309977600,38958187359,12.41432034997473,298.6541302701861,1238.5306687698596,150.02934290121965,121169200638,-4812886415,104.13633454027769,81651427801,67.38628906609557,45351790241,38809977600,9.78289810589161,178952197500,8590,1180.01,103.03,0.29,0.5,NULL,272,2.24,1.82,3.32,2.26,1.98,1.78,0.65,0.64,0.55,157.42230916030533
BYC,001460,섬유의복,2021,24.439855059906872,1292.5327605117318,42.05419050403917,-3.4297401328084094,-58.40788174286216,164445893789,94549164714,35853941946,40190338094,24.439855059906872,24.439855059906872,684434512150,4.362066620985486,40190338094,3109425101,8555730683,35707429153,31940854342,202622247604,481812264546,28227390764,-23474325146,4.1241916155469545,70.23427048058115,678.6766912766143,142.05419050403916,130677556899,2661426665,98.00401458458504,102383977377,78.34855487551856,51701715910,28227390764,10.927186118740286,281389057500,8720,1144.61,109.6,0.52,1,NULL,272,2.24,1.82,3.32,2.26,1.98,1.78,0.65,0.64,0.55,222.12499233716474
BYC,001460,섬유의복,2022,28.356667355126262,1386.2424129015724,29.692392631386177,-4.006019586314088,-55.68899690070991,169680336869,97946673770,39372632161,48115688693,28.356667355126262,28.356667355126262,668872026401,5.275523664349681,48115688693,3470943339,12251693281,10468407024,-32853531917,153134740019,515737286382,28274736768,-26795144385,4.227226681931652,58.764069549966734,433.97540469845694,129.69239263138618,79177003824,41005138471,65.88083912637497,81761992413,103.26482244105384,55069881153,28274736768,10.534336932098373,228609090000,9160,1292.2,118.78,0.23,3.25,NULL,272,2.24,1.82,3.32,2.26,1.98,1.78,0.65,0.64,0.55,304.6415576923077
CJ,001040,기타금융,2018,4.469888628063202,156.88430696149902,153.39426190929314,13.870488209032276,333.49708861838644,29523435477000,21170216737000,7020743532000,1319664685000,4.469888628063202,4.469888628063202,31729548648000,2.7735259891743547,1319664685000,841170612000,277104316000,1541092351000,3667105224000,19207738403000,12521810245000,5874609203000,4401043304000,18.51463211207794,445.15923399132254,2182.6298892294108,253.39426190929314,10998410550000,-2131302855000,124.036054690097,6843446355000,62.222139498147754,1473565899000,4106708423000,43.70114497041262,3545005257000,7530,1100.58,103.48,-0.29,1.75,AA-,3036,3.18,3.36,2.91,3.08,2.9,2.87,0.65,0.76,0.44,198.61355172413795
CJ,001040,기타금융,2019,1.7675550706266026,54.7549808246669,176.2992125779254,11.32666397260103,766.0448190188421,33779706665000,24634400467000,7636151674000,597074918000,1.7675550706266026,1.7675550706266026,40381364593000,0.8019610537285738,597074918000,1090448593000,506961741000,3864576582000,8760297564000,25766279658000,14615084935000,6176503789000,4573861475000,15.295431076320487,1034.4604341594531,7956.415367397203,276.2992125779254,12283359396000,-1645134652000,115.46437203188307,8089199416000,65.8549437105471,1602642314000,3268625614000,38.68538547076812,2818498006800,8350,1166.11,103.5,-0.56,1.25,AA-,3036,3.18,3.36,2.91,3.08,2.9,2.87,0.65,0.76,0.44,187.79354406130267
CJ,001040,기타금융,2020,1.6053505401411903,38.45581392132957,159.96607788184872,8.881254661614156,691.9864694293437,31999102947000,23391528118000,7217234663000,513697772000,1.6053505401411903,1.6053505401411903,40024965069000,0.5097013767490017,513697772000,1335813027000,452428179000,3032814780000,4476593902000,24628738994000,15396226075000,6157819223000,3554719076000,15.384945901600133,1198.7241445540083,12072.449796257299,259.9660778818487,11422602369000,-345105549000,103.11537484151587,8839350675000,77.384735889864,2603100147000,3092611322000,37.876138505739846,2687201515800,8590,1180.01,103.03,0.29,0.5,AA-,3036,3.18,3.36,2.91,3.08,2.9,2.87,0.65,0.76,0.44,157.42230916030533
CJ,001040,기타금융,2021,3.7723248152675692,133.1731302485965,154.8420387874486,5.908904907373557,190.57853442324176,34484026554000,24787913920000,7814312535000,1300849491000,3.7723248152675692,3.7723248152675692,41955995804000,1.9233524137283515,1300849491000,976810779000,543109508000,3353190728000,4976682339000,25492465688000,16463530116000,5673004694000,2479139895000,13.521320577163246,436.10000490056694,3159.0677741965283,254.8420387874486,12546083570000,-525486753000,104.37155293534875,9284727905000,74.00499010863834,3193864799000,3205342324000,38.53404052581162,2433361633200,8720,1144.61,109.6,0.52,1,AA-,3036,3.18,3.36,2.91,3.08,2.9,2.87,0.65,0.76,0.44,222.12499233716474
CJ,001040,기타금융,2022,2.580921478227161,70.95542974150138,172.02777332487068,8.449851185045858,385.92048453896723,40924879773000,29696090453000,9074587530000,1056239012000,2.580921478227161,2.580921478227161,48240408307000,1.4237974223371865,1056239012000,1488595046000,539886694000,4044985960000,8655812073000,30506774819000,17733633488000,8097518219000,4076242713000,16.785758046382448,766.6369190120389,4441.576217650867,272.0277733248707,16950325414000,-1806505608000,111.92899566385661,11436354303000,67.46982151477884,4021275506000,5714650512000,39.297639533471184,2453785531800,9160,1292.2,118.78,0.23,3.25,AA-,3036,3.18,3.36,2.91,3.08,2.9,2.87,0.65,0.76,0.44,304.6415576923077
