종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
092200,디아이씨,KOSPI,운수장비,6150,-30,-0.49,239164699350
377190,디앤디플랫폼리츠,KOSPI,서비스업,3260,-5,-0.15,209944000000
013570,디와이,KOSPI,기타금융,6110,130,2.17,160812957630
210540,디와이파워,KOSPI,기계,15320,330,2.2,169158966560
115390,락앤락,KOSPI,화학,6000,30,0.5,301202664000
032350,롯데관광개발,KOSPI,서비스업,10640,150,1.43,784834691760
089860,롯데렌탈,KOSPI,서비스업,27800,-100,-0.36,1018426951400
330590,롯데리츠,KOSPI,서비스업,3655,0,0,888051271020
000400,롯데손해보험,KOSPI,보험,1799,56,3.21,558295039680
023530,롯데쇼핑,KOSPI,유통업,69800,1200,1.75,1974555099000
020150,롯데에너지머티리얼즈,KOSPI,전기전자,49500,1300,2.7,2282486332500
280360,롯데웰푸드,KOSPI,음식료품,100600,-800,-0.79,949118144400
004000,롯데정밀화학,KOSPI,화학,70400,1000,1.44,1816320000000
286940,롯데정보통신,KOSPI,서비스업,25750,550,2.18,396455523250
004990,롯데지주,KOSPI,기타금융,25650,650,2.6,2690921929050
00499K,롯데지주우,KOSPI,기타금융,37750,100,0.27,30411513250
005300,롯데칠성,KOSPI,음식료품,126600,-200,-0.16,1174706714400
005305,롯데칠성우,KOSPI,음식료품,63500,-100,-0.16,49232185000
011170,롯데케미칼,KOSPI,화학,158400,3800,2.46,6775626369600
071840,롯데하이마트,KOSPI,유통업,9810,-140,-1.41,231591654720
027740,마니커,KOSPI,음식료품,1462,-6,-0.41,92853415336
357430,마스턴프리미어리츠,KOSPI,서비스업,3265,-5,-0.15,86783700000
001080,만호제강,KOSPI,철강금속,40950,-4850,-10.59,169942500000
088980,맥쿼리인프라,KOSPI,기타금융,12520,-180,-1.42,5068666248440
094800,맵스리얼티1,KOSPI,기타금융,4210,25,0.6,390832533510
138040,메리츠금융지주,KOSPI,기타금융,42350,850,2.05,8818026286300
090370,메타랩스,KOSPI,섬유의복,3005,-15,-0.5,74838590445
017180,명문제약,KOSPI,의약품,2490,30,1.22,84544100460
009900,명신산업,KOSPI,운수장비,24450,950,4.04,1282894751850
012690,모나리자,KOSPI,종이목재,2920,15,0.52,106788064600
005360,모나미,KOSPI,유통업,3540,-20,-0.56,66896466780
204210,모두투어리츠,KOSPI,서비스업,3830,-60,-1.54,29976701450
009680,모토닉,KOSPI,운수장비,8940,70,0.79,295020000000
009580,무림P&P,KOSPI,종이목재,3690,15,0.41,230139115560
009200,무림페이퍼,KOSPI,종이목재,2440,30,1.24,101526716400
033920,무학,KOSPI,음식료품,5710,70,1.24,162735000000
008420,문배철강,KOSPI,철강금속,3715,35,0.95,76170521075
025560,미래산업,KOSPI,의료정밀,24500,-900,-3.54,112099162000
007120,미래아이앤지,KOSPI,서비스업,1750,8,0.46,48796272000
396690,미래에셋글로벌리츠,KOSPI,서비스업,3370,0,0,97932200000
357250,미래에셋맵스리츠,KOSPI,서비스업,3350,30,0.9,67335000000
085620,미래에셋생명,KOSPI,보험,3715,-40,-1.07,657615142135
006800,미래에셋증권,KOSPI,증권,7390,160,2.21,4473288255120
00680K,미래에셋증권2우B,KOSPI,증권,3755,35,0.94,525700000000
006805,미래에셋증권우,KOSPI,증권,4050,15,0.37,57006787500
002840,미원상사,KOSPI,화학,168500,-7700,-4.37,817225000000
268280,미원에스씨,KOSPI,화학,149500,-6300,-4.04,762450000000
107590,미원홀딩스,KOSPI,기타금융,100200,0,0,232464000000
