corp,concept_id,label_ko,label_en,class0,class1,class2,class3,class4,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
삼성전자,ifrs-full_CurrentProvisions,충당부채,Provisions,재무상태표 [abstract],부채 [abstract],유동부채,충당부채,,5844907000000.0,5372872000000.0,4349563000000.0,4068627000000.0,4384038000000.0,4294820000000.0,4597417000000.0,6420603000000.0,5991510000000.0,6736476000000.0
삼성전자,dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,,1951354000000.0,1492239000000.0,1127719000000.0,1037030000000.0,1054718000000.0,403139000000.0,351176000000.0,287135000000.0,326259000000.0,467973000000.0
삼성전자,entity00126380_udf_BS_20201022192755790_CurrentLiabilities,매각예정분류부채,Liabilities held-for-sale,재무상태표 [abstract],부채 [abstract],유동부채,매각예정분류부채,,0.0,0.0,338742000000.0,0.0,0.0,,356388000000.0,,28316000000.0,
삼성전자,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,,15330051000000.0,33604094000000.0,26683351000000.0,25901312000000.0,22522557000000.0,20085548000000.0,14507196000000.0,12616807000000.0,10320857000000.0,12743599000000.0
삼성전자,dart_BondsIssued,사채,Debentures,재무상태표 [abstract],부채 [abstract],비유동부채,사채,,536093000000.0,508232000000.0,948137000000.0,975298000000.0,961972000000.0,953361000000.0,58542000000.0,1230448000000.0,1355882000000.0,1311068000000.0
삼성전자,dart_LongTermBorrowingsGross,장기차입금,Long-term borrowings,재무상태표 [abstract],부채 [abstract],비유동부채,장기차입금,,3560672000000.0,2866156000000.0,1999716000000.0,2197181000000.0,85085000000.0,1814446000000.0,1244238000000.0,266542000000.0,101671000000.0,985117000000.0
삼성전자,dart_LongTermOtherPayablesGross,장기미지급금,Long-term other payables,재무상태표 [abstract],부채 [abstract],비유동부채,장기미지급금,,2753305000000.0,2991440000000.0,1682910000000.0,2184249000000.0,3194043000000.0,2043729000000.0,3317054000000.0,3041687000000.0,2562271000000.0,1053756000000.0
삼성전자,dart_PostemploymentBenefitObligations,순확정급여부채,Net defined benefit liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,순확정급여부채,,268370000000.0,465884000000.0,464458000000.0,470780000000.0,504064000000.0,389922000000.0,173656000000.0,358820000000.0,201342000000.0,1854902000000.0
삼성전자,ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred income tax liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,이연법인세부채,,5111332000000.0,23198205000000.0,18810845000000.0,17053808000000.0,15162523000000.0,11710781000000.0,7293514000000.0,5154792000000.0,4097811000000.0,6012371000000.0
삼성전자,ifrs-full_NoncurrentProvisions,장기충당부채,Long-term provisions,재무상태표 [abstract],부채 [abstract],비유동부채,장기충당부채,,1928518000000.0,2306994000000.0,1051428000000.0,611100000000.0,663619000000.0,464324000000.0,358126000000.0,522378000000.0,499290000000.0,460924000000.0
삼성전자,dart_OtherNonCurrentLiabilities,기타비유동부채,Other non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타비유동부채,,1171761000000.0,1267183000000.0,1725857000000.0,2408896000000.0,1951251000000.0,2708985000000.0,2062066000000.0,2042140000000.0,1502590000000.0,1065461000000.0
삼성전자,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,,93674903000000.0,121721227000000.0,102287702000000.0,89684076000000.0,91604067000000.0,87260662000000.0,69211291000000.0,63119716000000.0,62334770000000.0,64059008000000.0
삼성전자,ifrs-full_EquityAttributableToOwnersOfParent,지배기업 소유주지분,Equity attributable to owners of the parent company,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,,,345186142000000.0,296237697000000.0,267670331000000.0,254915472000000.0,240068993000000.0,207213416000000.0,186424328000000.0,172876767000000.0,162181725000000.0,144442616000000.0
삼성전자,ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,자본금,,897514000000.0,897514000000.0,897514000000.0,897514000000.0,897514000000.0,897514000000.0,897514000000.0,897514000000.0,897514000000.0,897514000000.0
삼성전자,dart_IssuedCapitalOfPreferredStock,우선주자본금,Preference shares,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,자본금,우선주자본금,119467000000.0,119467000000.0,119467000000.0,119467000000.0,119467000000.0,119467000000.0,119467000000.0,119467000000.0,119467000000.0,119467000000.0
삼성전자,dart_IssuedCapitalOfCommonStock,보통주자본금,Ordinary shares,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,자본금,보통주자본금,778047000000.0,778047000000.0,778047000000.0,778047000000.0,778047000000.0,778047000000.0,778047000000.0,778047000000.0,778047000000.0,778047000000.0
삼성전자,ifrs-full_SharePremium,주식발행초과금,Share premium,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,주식발행초과금,,4403893000000.0,4403893000000.0,4403893000000.0,4403893000000.0,4403893000000.0,4403893000000.0,4403893000000.0,4403893000000.0,4403893000000.0,4403893000000.0
삼성전자,ifrs-full_RetainedEarnings,이익잉여금(결손금),Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,이익잉여금(결손금),,337946407000000.0,293064763000000.0,271068211000000.0,254582894000000.0,242698956000000.0,215811200000000.0,193086317000000.0,185132014000000.0,169529604000000.0,148600282000000.0
삼성전자,dart_ElementsOfOtherStockholdersEquity,기타자본항목,Other components of equity,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,기타자본항목,,1938328000000.0,-2128473000000.0,-8687155000000.0,-4968829000000.0,-7931370000000.0,-13899191000000.0,-11934586000000.0,-17580451000000.0,-12729387000000.0,-9459073000000.0
삼성전자,entity00126380_udf_BS_20201022192911508_EquityAttributableToOwnersOfParent,매각예정분류기타자본항목,Accumulated other comprehensive income attributable to assets held-for-sale,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,매각예정분류기타자본항목,,0.0,0.0,-12132000000.0,0.0,0.0,,-28810000000.0,23797000000.0,80101000000.0,
삼성전자,ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,,9563462000000.0,8662234000000.0,8277685000000.0,7964949000000.0,7684184000000.0,7278012000000.0,6538705000000.0,6183038000000.0,5906463000000.0,5573394000000.0
삼성전자,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,,354749604000000.0,304899931000000.0,275948016000000.0,262880421000000.0,247753177000000.0,214491428000000.0,192963033000000.0,179059805000000.0,168088188000000.0,150016010000000.0
삼성전자,ifrs-full_EquityAndLiabilities,부채와자본총계,Total liabilities and equity,재무상태표 [abstract],부채와자본총계,,,,448424507000000.0,426621158000000.0,378235718000000.0,352564497000000.0,339357244000000.0,301752090000000.0,262174324000000.0,242179521000000.0,230422958000000.0,214075018000000.0
