corp,stock_code,sector,year,revenue,cost_of_sales,gross_profit,operating_income,net_income,ebit,ebitda,total_equity,total_assets,total_liabilities,current_assets,current_liabilities,non_current_liabilities,short_borrowing,long_borrowing,cash_and_equivalents,retained_earnings,tangible_assets,intangible_assets,accounts_receivable,inventory,accounts_payable,outstanding_shares,cash_flow_operating,selling_general_administrative_expenses,cash_flow_investing,cash_flow_financing,long_term_assets,interest,tax,stock_price,market_capitalization,borrowings,net_liabilities,cash_flow_per_share
SK오션플랜트,100090,철강금속,2019,384531743425,388991146520,-4459403095,-20595049708,-37129796614,-36804835892,-36804835892,195778852698,627931343574,432152490876,142046985512,304319416012,127833074864,134320955409,87540907414,12419397923,43218321789,483157665629,1150940359,31431234918,17971252264,73239429507,27863420,26618751148,16135646613,-22075918146,11913906829,485884358062,17348909444,130109886,4505,125524707100,221861862823,419733092953,955.3296453917
SK오션플랜트,100090,철강금속,2020,427239225830,381714155355,45525070475,29049486060,12245484601,9173898891,9173898891,233704327198,660044446686,426340119488,189099172940,263137673272,163202446216,134464962529,108710771200,12189967644,49554755460,465624958647,1394921646,13769000211,26164399669,42720719315,35092674,-40611992564,16475584415,-1619394064,58968146201,470945273746,18200178127,1097429537,21450,752737857300,243175733729,414150151844,-1157.2783699526574
SK오션플랜트,100090,철강금속,2021,503060400073,459684825363,43375574710,26431994695,-86811625287,-81684875195,-81684875195,180080017849,739392190185,559312172336,301286813979,495761277618,63550894718,202221002463,44906498610,96472373333,-1217736134,428647036460,2435088928,24776438104,29001701137,55446033444,36574368,150311118498,16943580015,-48737511889,-4676935727,438105376206,24875088505,401709585,21400,782691475200,247127501073,462839799003,4109.73932613135
SK오션플랜트,100090,철강금속,2022,691830139228,590449883250,101380255978,71940779701,28013900233,34796229822,34796229822,525957499199,1220003934152,694046434953,594390293947,642506418910,51540016043,66086793610,7843032000,86209562699,22180831626,539608940065,4859476036,7723457874,7759465468,62405115154,53235012,89272006885,29439476277,-331080279143,252721297340,625613640205,41330822430,14167122310,20100,1070023741200,73929825610,607836872254,1676.9416128806358
SK이노베이션,096770,화학,2019,49801901616000,46659539861000,3142361755000,1291477755000,65774590000,684418428000,684418428000,18213217158000,39534500042000,21321282884000,17353628236000,10457238112000,10864044772000,1131974169000,0,2196001396000,12175219414000,15417502948000,1173472792000,4138301739000,6495210174000,4928198197000,92465564,1825833804000,1850884000000,-3166766482000,1686074554000,22180871806000,3256836603000,528960097000,150000,13869834600000,1131974169000,19125281488000,19746.094924592686
SK이노베이션,096770,화학,2020,34549940259000,34877510546000,-327570287000,-2420286372000,-2146738601000,-2758436391000,-2758436391000,15458465083000,38498146106000,23039681023000,13295062788000,11014841497000,12024839526000,1530278833000,0,2940661256000,9891253221000,17878169500000,1223880958000,2506203681000,3878354885000,2764353466000,92465564,2850843672000,2092716085000,-4128744600000,2144735915000,25203083318000,4035818663000,190372262000,190000,17568457160000,1530278833000,20099019767000,30831.40953966387
SK이노베이션,096770,화학,2021,46853415718000,42672121506000,4181294212000,1741672570000,488509884000,818466254000,818466254000,19620696364000,49544942070000,29924245706000,21481684513000,14512449137000,15411796569000,864051500000,0,3423827161000,10198716000000,19337482473000,1906923779000,4248696216000,7849111066000,5661202871000,92465564,-495480899000,2439621642000,-4110731161000,5029706015000,28063257557000,3023101536000,262262569000,238500,22053037014000,864051500000,26500418545000,-5358.545144438853
SK이노베이션,096770,화학,2022,78056939448000,71029732813000,7027206635000,3917340789000,1895179127000,2860190277000,2860190277000,23242311382000,67218924277000,43976612895000,31966675885000,27557209671000,16419403224000,7558575696000,0,9479086529000,11579657924000,25110563647000,2077677363000,6278785828000,11857700217000,9146440056000,92465564,406557024000,3109865846000,-5123322784000,10507172706000,35252248392000,8107091953000,738779556000,154000,14239696856000,7558575696000,34497526366000,4396.84793357233
SK케미칼,285130,화학,2018,1367719213257,1095287319601,272431893656,45733649359,-16419747980,5161291228,5161291228,725560465586,1950805010838,1225244545252,717166309658,594303651410,630940893842,181240018975,176582600000,45286768519,-2988117336,1103321131405,38341453801,195943770754,328951762092,230195332597,11579852,67370210693,226698244297,-145950833324,48488779843,1233638701180,49583627402,3723541430,46704,540825407808,357822618975,1179957776733,5817.881842790392
SK케미칼,285130,화학,2019,1112918780388,841891816357,271026964031,41232763700,5021553809,22848674533,22848674533,718706292859,2131709150029,1413002857170,792022789246,718865361025,694137496145,198755573825,72909200000,183975936156,397797289663,1165064920158,37429393743,171327000317,330606087802,231781907093,11741396,122100000000,229794200331,-100750000000,117150000000,1339686360783,54254629693,19157895162,42701,501369350596,271664773825,1229026921014,10399.104161038433
SK케미칼,285130,화학,2020,1198780770389,810782693273,387998077116,155357974357,255161209775,344253328785,344253328785,958932793232,2119966956886,1161034163654,923286317987,645679130159,515355033495,107636902688,31135000000,86764151843,643304793518,1069999627343,36955864384,233192607955,252930309986,232021734019,11741396,247009579324,232640102759,40982083576,-384925327097,1196680638899,60130736952,21105152844,261876,3074789818896,138771902688,1074270011811,21037.49667620443
SK케미칼,285130,화학,2021,2089631876416,1208252148242,881379728174,555185910439,268743338018,404202988098,404202988098,2566737408518,3955632394256,1388894985738,2784058669420,1086649251139,302245734599,11671373163,0,255615367155,780500698398,999245763243,44422323845,366865111272,349299225904,452892821032,17620780,509316464742,326193817735,-1566583812837,1223951948530,1171573724836,63950494455,106893301118,149000,2625496220000,11671373163,1133279618583,28904.308704949497
SK케미칼,285130,화학,2022,1829191322924,1214096459201,615094863723,230480673367,231475869672,236700717561,236700717561,2708905829156,3945682879744,1236777050588,2518693783957,1058819027627,177958022961,436109819164,7172698962,400028232546,868597006114,1193131058845,51777238900,260401304200,482753081114,219159227892,17253783,-186535765437,384614190356,230967888504,107152679535,1426989095787,151958375452,185443083279,73200,1262976915600,443282518126,836748818042,-10811.29659721581
SK텔레콤,017670,통신업,2018,16873960000000,0,16873960000000,16873960000000,3131988000000,3975966000000,3975966000000,22349250000000,42369111000000,20019861000000,7958839000000,6847557000000,13172304000000,80000000000,2015365000000,1506699000000,22144541000000,10718354000000,2938563000000,2008640000000,288053000000,381302000000,80745711,4332580000000,15672200000,-4047725000000,-238313000000,34410272000000,385232000000,-393823000000,46499,3754594815789,2095365000000,18513162000000,53657.09145839338
SK텔레콤,017670,통신업,2019,15416431000000,0,15416431000000,15416431000000,860733000000,807033000000,807033000000,22816934000000,45202368000000,22385434000000,8088507000000,7851673000000,14533761000000,20603000000,1972149000000,1270824000000,22228683000000,12933460000000,2949530000000,2230979000000,162882000000,438297000000,80745711,4034984000000,16632540000,-3581584000000,-686674000000,37113861000000,334912000000,-341728000000,41064,3315741876504,1992752000000,21114610000000,49971.49631885711
SK텔레콤,017670,통신업,2020,16087747000000,0,16087747000000,16087747000000,1500538000000,905218000000,905218000000,24396243000000,47906957000000,23510714000000,8775086000000,8177967000000,15332747000000,109998000000,1979261000000,1369653000000,22981913000000,13377077000000,3357524000000,2188893000000,171443000000,372909000000,80745711,5821876000000,14839170000,-4250402000000,-1457579000000,39131871000000,322943000000,-48274000000,41064,3315741876504,2089259000000,22141061000000,72101.36523536216
SK텔레콤,017670,통신업,2021,16748585000000,0,16748585000000,16748585000000,2418989000000,1718191000000,1718191000000,12335138000000,30911277000000,18576139000000,6352665000000,6960435000000,11615704000000,12998000000,353122000000,872731000000,22437341000000,12871259000000,2072493000000,1913511000000,204637000000,190559000000,218833144,5031279000000,15361420000,-3486189000000,-2053611000000,24558612000000,315604000000,-351469000000,57900,12670439037600,366120000000,17703408000000,22991.39384480077
