corp,stock_code,sector,year,gross_profit_margin,operating_profit_margin,net_profit_margin,ebitda_margin,return_on_equity,return_on_assets,return_on_invested_capital,debt_ratio,current_ratio,quick_ratio,non_current_debt_ratio,equity_ratio,interest_coverage_ratio,debt_to_equity_ratio,net_debt_ratio,retention_ratio,earnings_per_share,book_value_per_share,price_earnings_ratio,price_to_book_ratio,price_cash_flow_ratio,enterprise_value_to_ebitda,market_capitalization,revenue,operating_income,net_income,total_assets,tangible_assets,total_liabilities,total_equity,total_asset_turnover,net_working_capital_turnover,tangible_asset_turnover,accounts_receivable_turnover,inventory_turnover,accounts_payable_turnover
BGF,027410,기타금융,2018,54.43627108700466,13.360904107897092,21.39896741475472,23.688222377627273,3.1143042414613875,2.905136014982552,0.2876135324091769,7.199946074817164,546.6051355676981,540.8961475808165,3.3952399737115733,93.28362901433536,962.7667741617994,1.6622220784282857,6.373555719454224,1378.8256586343246,494.96935286608687,15893.416779146228,16.304039741594515,0.5077574012020283,-26.355213673452045,14.970847779783876,769629274530.0,220593918847.0,29473341965.0,47204820813.0,1624874724266.0,196524611117.0,109132614534.0,1515742109732.0,13.576057006280791,85.64921605331396,112.247477602523,1678.0565864759872,3052.8624360993936,3522.4290727746984
BGF,027410,기타금융,2019,56.25605744596341,19.75857157144658,13.131113077178695,18.431530095825313,1.1460976532470626,1.0568050841101555,1.113775300069929,8.449294054266648,501.57170007227745,496.99651530005326,4.278555005247488,92.20899118989311,1815.8784335854136,1.3120849337744875,7.50555752780635,3838.6387065809126,182.9907934857532,15966.422491775764,30.602632478534993,0.3507360526683129,38.744519962490166,22.031100002567296,536014029600.0,133387713837.0,26355506906.0,17515291535.0,1657381460248.0,196153387372.0,129126735585.0,1528254724663.0,8.048099790922043,52.112746770721294,68.00173865161632,1122.240805826169,2000.8583701175876,1559.5802093939278
BGF,027410,기타금융,2020,43.755980843134225,9.48366078779447,11.58233221329293,10.45516912141264,1.1632921774847595,1.0783323134142093,0.7716319240125051,7.878820194263739,671.0015813043417,667.629838302708,3.3919424263575157,92.6966014458854,207.20415400796043,0.8880364384722887,7.347105061717707,3851.542110252644,186.8110419100866,16058.82387295036,26.202947909021333,0.30481684329605147,21.945088054592333,29.3671925673599,468533691945.0,154381286305.0,14640997513.0,17880953455.0,1658204361732.0,54835791920.0,121105273379.0,1537099088353.0,9.310148366981029,39.202272267984675,281.5337955367309,1287.8612548751075,3733.9666464401594,1071.2713702814817
BGF,027410,기타금융,2021,49.588156652991096,25.240059555790367,23.95470077599931,28.988668023542036,2.0762805129470556,1.8155343449146515,2.6358041271105983,14.361951827722761,409.82029500372465,365.87743684698364,7.760777631690519,87.44166954289317,1252.3264912042216,1.8607763682121314,2.4007516395148034,2068.794559968229,375.8695661767432,18103.024318387357,14.07403119600407,0.2922163671087219,332.0982890713149,7.610126896223146,506341824390.0,150187760830.0,37907480279.0,35977028709.0,1981622039251.0,117609920160.0,248858644100.0,1732763395151.0,7.579031614261162,42.38031897086657,127.69990883905042,266.49525723973795,150.63238799844189,267.2080780365162
BGF,027410,기타금융,2022,30.248268054063125,14.069920193944935,6.017709210495787,8.941520574568687,1.507430347309131,1.350706517342758,1.3148002048535723,11.603100151963107,591.3268191873781,507.75989455932364,7.485795504833341,89.60324566596817,298.6096565753782,0.9195199398242648,1.242813490853673,2913.889404067403,273.4826433117675,18142.307125496925,15.741401164871522,0.23729065825094636,1986.2341943664171,6.3791541430435545,412060785255.0,434997439995.0,61203792653.0,26176881012.0,1938013970903.0,131437458495.0,201490551514.0,1736523419389.0,22.44552653004441,123.82906196595643,330.95393427098844,689.643859927644,507.82447676954786,1477.058967399584
BGF리테일,282330,유통업,2018,17.653444244161285,3.2811842663619704,2.6695006630233418,3.506652873969043,29.556758721327892,10.399969999128066,35.24020824619087,184.20042292243087,91.14571046531427,77.60711426992815,37.804809162939826,35.186436026977276,2463.9740317828496,0.9765381980690137,177.4261598854507,103.9738613977481,8920.823974627032,30182.010344015987,22.86784276656787,6.758993111287098,10.196472058439294,17.259217264739018,3525916824000.0,5775862323457.0,189516685804.0,154186683020.0,1482568536572.0,486125142793.0,960905506895.0,521663029677.0,389.5848442063912,-8541.713277805875,1188.1430962965962,10628.558416137954,4600.134315053224,912.0817811011294
BGF리테일,282330,유통업,2019,17.768160780083825,3.30677830280116,2.545834456644175,3.3817031505072204,24.31385864954934,6.968159364763195,24.752861451921184,248.92799341674672,78.27075095264308,68.71232584451735,96.2243604568307,28.659208170943078,966.3452569323617,1.8839033694847205,244.42299167171052,172.58004061390704,8758.266421317034,36021.70493608331,19.353144999956655,4.705496319531786,5.498386528389004,14.48839638069098,2929622067000.0,5946068219555.0,196623293754.0,151377053549.0,2172410899706.0,549816981097.0,1549815137631.0,622595762075.0,273.708266716932,-2878.257469524243,1081.4631821104085,10636.278965211446,5380.566708270287,915.9339069477733
BGF리테일,282330,유통업,2020,17.015211037721574,2.6241251202683182,1.9852114365229319,2.6386810234973934,17.609981692298195,5.175136671991752,16.58467887971122,240.2805144761646,82.62824628767682,70.51487816099478,96.286124362448,29.387518751681164,691.4531306135569,3.2095833560629665,236.83471182468816,273.57766688178106,7099.741657585964,40316.57602853198,19.08520148127085,3.3609004867900207,4.616159818326063,14.348657680946632,2341969263000.0,6181269419288.0,162204243583.0,122711267434.0,2371169598247.0,591452944612.0,1674341687928.0,696827910319.0,260.68440755388383,-3546.1973405471704,1045.0991030813084,11373.401495071734,4220.269075046163,897.5560132186258
BGF리테일,282330,유통업,2021,17.358347348264722,2.941114302548884,2.177250276161306,2.8389876337163718,18.24284180258965,5.686491304823252,19.708185266073937,220.81015910665624,79.52421154266443,68.85404558989302,95.21620569241136,31.171082698398617,853.5036508303378,0.887416531899469,214.08321799875267,301.8606595228552,8542.215644947386,46825.02724841248,17.033051616539492,3.1073126605587382,4.673082334648672,12.81734346944868,2514808323000.0,6781161259022.0,199441703668.0,147642852239.0,2596378756682.0,614077692952.0,1787059387273.0,809319369409.0,261.17765913659974,-3258.177741460191,1104.2839264236318,9268.549496951042,5167.056684851579,1107.0795495562675
BGF리테일,282330,유통업,2022,18.201696971720132,3.3142753944844587,2.5412909863644777,3.3360880352824314,20.105267522447846,6.569022674118882,28.410217680569012,206.06177691637524,80.73514732759467,69.40906534559707,91.55783249925089,32.673142333393315,798.8321044837264,1.2767138030447633,178.1594074236724,310.05562542050563,11197.63455239805,55695.02887686383,18.798613136996863,3.7795114617032444,5.771129132916953,13.3111843602178,3638262213000.0,7615769467741.0,252407573570.0,193538863026.0,2946235271626.0,690462607488.0,1983607627851.0,962627643775.0,258.4915583994732,-3586.487492392593,1102.9952071478917,5965.962627994862,4989.98920166736,1183.4781108794737
BYC,001460,섬유의복,2018,37.310044050273625,10.788628588384524,4.59529904559966,9.694483901714458,2.2318039435683534,1.2313192305217444,2.8015344662997457,81.25307298438568,109.33521847683363,42.85386230942404,61.09060493280152,55.17147839397716,242.84180635390328,40.8777654055905,74.61774326413223,4364.282207076148,14556.880952266596,652247.2995092977,16.899224552749832,0.3771575600007422,3.132471767096104,15.283164423584525,153655290000.0,197864080352.0,21346820739.0,9092446196.0,738431267101.0,66659239000.0,331027820118.0,407403446983.0,26.79519261539299,2580.3230563154584,296.8291917523991,3286.6582404119326,227.14159127396297,745.2713781470214
BYC,001460,섬유의복,2019,40.69403652523854,13.713476948623107,16.28999838387946,24.482999158016998,6.398156391543594,4.004847449626627,5.657571249104429,59.76030228417554,108.17543514445282,66.41598306459993,34.5766247932539,62.5937724016845,277.09185837668593,25.975635415313846,56.3539039803998,1525.2019883426083,44489.72524835299,695352.2628355067,5.315834132033784,0.34011538128257546,7.892789982407455,5.883970216985749,147721447500.0,170589026967.0,23393686890.0,27788949736.0,693882852856.0,68972515251.0,259555399205.0,434327453651.0,24.58470133176817,1907.6723434635308,247.32899234746512,2879.822480412675,221.49209718496635,732.3634056093038
BYC,001460,섬유의복,2020,42.47568817437109,14.173023216368389,11.296639125606058,17.440617269327795,4.0394109054166645,2.6924139153740345,2.795046000349107,50.02934290121965,96.02796222995745,67.38628906609557,23.261558591083258,66.65362792786522,386.21287982114006,18.62512324671948,40.01056805697162,2415.2341099908454,29274.22744730754,724715.2649920351,9.786765526628798,0.3953276739702023,5.0539031736734366,7.719114429809335,178952197500.0,161863377007.0,22940934002.0,18285121577.0,679134863796.0,61432622412.0,226466838553.0,452668025243.0,23.833760514409533,-3363.124808068008,263.48114511774816,3731.0007325966526,268.2930368617358,762.4654511514343
BYC,001460,섬유의복,2021,42.50439306479994,16.243243202091286,18.155205161466352,24.439855059906872,6.1964984276878265,4.362066620985486,6.902026799791473,42.05419050403917,102.03663638053548,78.34855487551856,14.932100321852898,70.3956705854141,859.0445370563694,5.8585870143006815,31.323513907685342,1574.3580508857133,47798.22674287361,771374.790144329,9.42503583707039,0.5840221974530807,7.880406519727248,6.417331741543721,281389057500.0,164445893789.0,26711346464.0,29855489397.0,684434512150.0,69036986885.0,202622247604.0,481812264546.0,24.026534441173855,6178.862485733756,238.19969730563363,3340.292697806434,305.44062612304464,645.1853881252987
BYC,001460,섬유의복,2022,42.27576655177273,14.925921010254099,20.795869862188326,28.356667355126262,6.8419528641300795,5.275523664349681,7.335018263207931,29.692392631386177,151.78920202910052,103.26482244105384,14.34019570580756,77.10552482767561,729.6677178918362,5.482391425749517,19.014498554863962,1428.2360396804213,56493.203072292534,825688.2821930309,6.478655485893437,0.44326655457420655,21.838001663088562,4.194348061869484,228609090000.0,169680336869.0,25326353051.0,35286502037.0,668872026401.0,77727018083.0,153134740019.0,515737286382.0,25.368131745918433,413.80261888154035,218.3029029723083,3464.859747250312,254.9356888789453,649.8684138573569
CJ,001040,기타금융,2018,28.293518708239457,4.513279658927411,2.980775318934608,4.469888628063202,7.027955709130778,2.7735259891743547,6.160665315582115,153.39426190929314,80.62171942654022,62.222139498147754,65.56023204614534,39.46419277473486,158.4072468760951,46.91501538562087,141.62626774416515,379.13774281892205,30161.68003301779,429167.19002414163,4.028290196931827,0.28310645087562575,2.3003198054287144,6.021263318871036,3545005257000.0,29523435477000.0,1332475208000.0,880027278000.0,31729548648000.0,12970204923000.0,19207738403000.0,12521810245000.0,93.0471334607558,-1385.229481006818,227.62505027693308,835.2183912964276,1046.1343663856326,1013.7453889692017
CJ,001040,기타금융,2019,27.073373634341475,4.467636557553867,0.9586904356855818,1.7675550706266026,2.2158120766336826,0.8019610537285738,0.4696098215847797,176.2992125779254,86.60680194266946,65.8549437105471,92.24444106181309,36.19264748059922,138.3975855155237,42.2611556242728,165.33354032129682,1091.0924718765648,11099.25075225354,500911.19501053536,8.703290173022426,0.19284855471830345,0.7293161222183279,12.380957998640968,2818498006800.0,33779706665000.0,1509154524000.0,323842817000.0,40381364593000.0,13517262358000.0,25766279658000.0,14615084935000.0,83.65172154399066,-2053.309534507331,249.90050329982654,943.508758044573,966.4243111436043,897.8949881279884
CJ,001040,기타금융,2020,26.899425409695688,4.344934819900469,0.63754224091187,1.6053505401411903,1.3250506780441647,0.5097013767490017,0.32330626526438416,159.96607788184872,96.97874846859251,77.384735889864,85.77515399337886,38.46655718114451,104.08194394708505,39.99564044463409,143.05868684771178,1766.8808601130042,6992.076360974491,527683.6936754083,13.17205294181941,0.17453637681791445,0.8860420799584734,12.150959050295434,2687201515800.0,31999102947000.0,1390340166000.0,204007798000.0,40024965069000.0,13002525157000.0,24628738994000.0,15396226075000.0,79.94785977160998,-9272.265554617321,246.0991427482304,963.6674022212876,1045.129611855619,987.7130363697435
CJ,001040,기타금융,2021,28.117692749181845,5.457019632127964,2.340102762466977,3.7723248152675692,4.901510504212935,1.9233524137283515,4.000175173615867,154.8420387874486,95.81154748357858,74.00499010863834,78.63673238231041,39.239993713676554,192.64735191870767,34.458009029829626,135.44240349358134,472.10851001795675,27657.460099219254,564264.0177032606,3.015461278830673,0.14780315133235913,0.7256854234030913,3.776379636681581,2433361633200.0,34484026554000.0,1881800099000.0,806961658000.0,41955995804000.0,13453497278000.0,25492465688000.0,16463530116000.0,82.19093813216647,-6562.301781563654,256.32016598680576,947.2144499238501,906.0344160232193,897.8261944529221
CJ,001040,기타금융,2022,27.437562143818788,5.263795036048522,1.6783083879775826,2.580921478227161,3.873124424640754,1.4237974223371865,2.3675160429215314,172.02777332487068,89.34235441575694,67.46982151477884,76.44484935460846,36.76095230194545,144.7137551470798,45.661923849274494,149.35179150354165,576.9588438416204,23540.65658159897,607794.9996089385,3.572542665005294,0.13836902253903174,0.6066239922869844,6.182339575240003,2453785531800.0,40924879773000.0,2154201790000.0,686845690000.0,48240408307000.0,14277413784000.0,30506774819000.0,17733633488000.0,84.83526821032635,-2265.416702376492,286.64070672843087,928.8089674931153,800.9808972995318,884.6036673416922
CJ CGV,079160,서비스업,2018,100.0,4.391807996486164,-10.655913068826017,-3.4279490879803975,-34.26271244324038,-8.438916351835182,-26.029358220689268,306.008437751482,57.699194745011816,55.51994398423099,149.46662732289857,24.630029994896326,31.97216753351985,90.78807656191809,272.32876849439174,-96.35636265738444,-8909.70645592738,26004.08963734906,-4.174099358263203,1.4301596602168638,7.473239991612902,-18.156600977844114,786989230470.0,1769356467477.0,77706738825.0,-188541087052.0,2234185992506.0,831545612314.0,1683905312410.0,550280680096.0,79.19468089997204,-485.5702667770112,212.77924400963263,1067.2650187060658,0.0,0.0
CJ CGV,079160,서비스업,2019,100.0,6.280012839383866,-12.309009534185357,-1.995793196974575,-39.77231930673933,-5.284546224377695,-37.00222347612036,652.6156006218471,60.43607258243077,58.51042191740974,466.25818112954596,13.286995368867615,48.8805620477544,74.58853939738094,594.1131315419345,-6.395536622035664,-11297.755853004017,28406.07751806327,-2.7740022361756784,1.10328502694788,2.340639589960893,-19.60305664349703,663195549420.0,1942279329129.0,121975391246.0,-239075347803.0,4524046865181.0,924155903265.0,3922936967719.0,601109897462.0,42.93234325394842,-438.2397072527932,210.167929703962,1077.1083318809399,0.0,0.0
CJ CGV,079160,서비스업,2020,100.0,-66.61486434067925,-128.8296223016297,-117.82259601789195,-261.0931950075335,-17.260003076255582,-695.573828785456,1412.7065380811944,72.40519488803301,71.16932013755263,957.2254745629685,6.6106675341567485,-111.27954262588591,181.22049492657416,1176.1754954172693,83.49001549238434,-21414.485304643873,8201.855013504273,-1.1767735549794052,3.072475672699462,-3.2949904993129526,-1.0550756026401449,884520000000.0,583443792479.0,-388660290864.0,-751648434193.0,4354856895866.0,791199461759.0,4066971784892.0,287885110974.0,13.397542248353888,-161.24347975017827,73.74168217732148,825.6538675950844,0.0,0.0
CJ CGV,079160,서비스업,2021,100.0,-32.79107634444055,-46.01126394797875,-30.825275314145955,-112.4475475217933,-8.949641769876678,-84.24661437178833,1156.4474692191257,63.628342700795535,62.31941161741451,832.693537749147,7.95894794249929,-124.7216505664513,160.54015054201832,1044.1736618345553,274.03596576552854,-8302.26181523765,7383.230669062482,-3.0172500647985103,3.3928237004656436,-5.947336470065319,-5.144385563418394,1022208135600.0,736315366659.0,-241445734017.0,-338788006843.0,3785492375609.0,730134793230.0,3484207008067.0,301285367542.0,19.450980046962677,-207.54280540274314,100.84649759007623,682.8302350614631,0.0,0.0
CJ CGV,079160,서비스업,2022,100.0,-5.991214617097452,-16.7413180198808,-6.988583516665707,-54.569660733801854,-5.9561128011782625,-74.7024913283667,816.1958907663175,55.11552532846567,53.7408369443062,501.09243032166876,10.914696410214061,-32.96257731048462,82.86130230957521,715.7139475313139,526.4108321261518,-4494.960761897849,8237.105932955808,-3.7708894243702855,2.0577615655256785,7.514598170648387,-8.259736388770445,808884137100.0,1281306043785.0,-76765794985.0,-214507519598.0,3601468386488.0,652089192238.0,3208379045793.0,393089340695.0,35.57732308833275,-230.46887835059158,196.49245211188043,815.2385411663323,0.0,0.0
CJ대한통운,000120,운수창고업,2018,8.981579527160036,2.63227045908593,0.7223685156838822,1.0826726838665144,2.1272962607774653,0.8464066063786799,0.9416048810626904,151.3326626642277,83.4289916809011,82.61705376575419,67.83755559641385,39.78790458031185,162.1735299049815,91.81962282282674,146.11552934815484,889.1062286518295,2919.475044432085,137238.7616271699,57.20206456927804,1.2168573806697633,57.96062333495791,65.32785177075564,3809661448000.0,9219680477069.0,242686925620.0,66600069013.0,7868566775246.0,3306401976471.0,4737828934873.0,3130737840373.0,117.17102669921435,-2128.429190034581,278.84330286148025,689.8584516560281,39537.99244174896,1019.5535691588273
CJ대한통운,000120,운수창고업,2019,9.338269568277557,2.9494300751934275,0.48861569320400006,0.9009367508215722,1.3922418721582155,0.5586143272917304,1.1274863835308528,149.23132188679648,92.56605531823658,91.65485247708978,80.59860185682372,40.12336781868094,169.1489786443285,57.227322918817215,143.1876777408175,1202.887889523237,2230.803428617419,160231.02545819053,69.4816934614737,0.9673532298552537,4.158554179260986,57.62121141953856,3535913320000.0,10415108625820.0,307186346174.0,50889855210.0,9110016110171.0,3518957879624.0,5454770837946.0,3655245272225.0,114.32590787838357,-5584.6600736669225,295.97139215922795,756.2426610244105,41307.128679536414,1088.377631735566
CJ대한통운,000120,운수창고업,2020,9.286334644554026,3.017658142412165,1.3228973124324468,1.8764122306834548,3.5303287048868106,1.4789573983197932,2.6233058056738594,138.70388078098327,90.4167628222198,89.51479277862671,69.2076651927001,41.89290918640426,181.4396532701466,55.10718812573696,129.109157183393,503.4662661255243,6252.02045524125,177094.57044572008,26.47144250164066,0.9345289332330273,6.5964156091101325,27.751680394987826,3775442932000.0,10781127150206.0,325337561292.0,142623241320.0,9643498959607.0,3496200701892.0,5603556698067.0,4039942261540.0,111.79684049704468,-4006.9656302468175,308.3669408444343,758.993548964667,38619.66083604197,1089.7306409659313
CJ대한통운,000120,운수창고업,2021,9.44429611624973,3.031482031616818,1.395315187826252,2.108582766598509,3.9408762528533288,1.7598505031106941,2.7865098130002277,123.93244459614472,95.8882413138808,94.86212425580086,62.958893482381484,44.656324893137715,168.3811725127637,43.53465009950071,118.21826991967228,472.3793076287376,6938.3355013846885,176060.73005619238,18.15997510856229,0.7156621465774068,8.352205484846472,18.367639722826613,2874355344000.0,11343651787492.0,343880765667.0,158279696245.0,8993928516384.0,3312064212910.0,4977570577451.0,4016357938933.0,126.12566095925237,-11265.523260579368,342.4949233555287,827.3529182510546,40878.776648957035,1243.4180171006199
CJ대한통운,000120,운수창고업,2022,9.776890877119456,3.394581109237571,1.622507981657738,2.3522427213082824,4.878699591149173,2.030493104661333,3.5857885587737544,140.2716650428072,95.1009303094095,93.99761717552906,63.21360351580856,41.6195559231605,202.05226360784206,57.9508014447498,125.82274096422952,469.88636323745635,8627.863249125123,176847.6022745405,10.860162857762182,0.5298347209397779,3.431341364425361,13.64149618003194,2137516632800.0,12130712862374.0,411786887242.0,196821784424.0,9693299818264.0,3364173934235.0,5658991479602.0,4034308338662.0,125.14533842765758,-7964.99555769454,360.5851867208072,852.630860704648,31909.36459679441,1316.3397399267333
CJ제일제당,097950,음식료품,2018,18.980047118690592,4.460133928282045,4.9565380376132655,6.931879457069269,12.662312116888769,4.746307323460184,14.371552908042688,166.78239005513043,82.63255329143931,60.2144755574849,75.37278428929667,37.48373345757007,169.0090222165795,48.10423368542388,159.28980144034105,399.2187811904431,61470.518897534545,485460.4619605471,5.376561088591293,0.680796946192622,10.553973961629532,6.137752458069489,4975408473000.0,18670059989000.0,832709680000.0,925388625000.0,19497022884000.0,9741713669000.0,12188810794000.0,7308212090000.0,95.75851708273555,-1609.1879067116172,191.65067485417592,778.4331227854868,1010.0348308408611,1119.2383622179364
