id,회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
604,풍산홀딩스,5810,"기타 금융업","동판제,대,관,봉,선,소전,동파이프 제조,도매,무역",1988-07-28,12월,"류진, 박우동",http://www.poongsan.co.kr,인천광역시
605,부국증권,1270,"금융 지원 서비스업","유가증권 매매,위탁매매,인수,주선",1988-07-19,12월,박현철,http://www.bookook.co.kr,서울특별시
606,계양전기,12200,"일반 목적용 기계 제조업","전동공구(그라인더,드릴,커팅머신 등), 엔진, 자동차용 모터 제조",1988-07-06,12월,임영환,http://www.keyang.co.kr,서울특별시
607,한솔테크닉스,4710,"전자부품 제조업","백라이트유닛,인버터,폴리바리콘,모니터,통신장비 제조",1988-07-06,12월,유경준,http://www.hansoltechnics.com,서울특별시
608,DB금융투자,16610,"금융 지원 서비스업","유가증권,위탁매매,인수,자기매매",1988-06-27,12월,곽봉석,http://db-fi.com,서울특별시
609,한미사이언스,8930,"기타 금융업","항생제(세포탁심,세포트리악손),유산균정장제(메디락비타,메디락베베),위장관운동조절개선제(설프라이드),고혈압치료제(유니바스크),원료의약품,식품 제조,판매",1988-06-20,12월,송영숙,http://www.hanmiscience.co.kr,경기도
610,삼진제약,5500,"의약품 제조업","의약품(게보린,세트라졸,염산나록손) 제조,판매,수출입,약초재배",1988-06-18,12월,최용주,http://www.samjinpharm.co.kr,서울특별시
611,POSCO홀딩스,5490,"1차 철강 제조업","열연코일,냉연강판,후판,선재,스테인리스 제조",1988-06-10,12월,"대표이사 회장 최정우, 대표이사 사장 정기섭",http://www.posco-inc.com,경상북도
612,범양건영,2410,"건물 건설업","토목공사,주택건설,건축공사,난방공사,전기공사,포장공사",1988-05-25,12월,강병주,http://www.iby.co.kr,부산광역시
613,파미셀,5690,"기초 의약물질 및 생물학적 제제 제조업","줄기세포치료제,화장품",1988-05-20,12월,김현수,http://www.pharmicell.com,서울특별시
