id,회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
1,비에이치,90460,"전자부품 제조업","FPCB (연성인쇄회로기판)",2023-06-20,12월,최영식,http://www.bhe.co.kr,인천광역시
2,동국씨엠,460850,"1차 철강 제조업","냉연강판, 칼라강판",2023-06-16,12월,박상훈,http://www.dongkukcm.com,서울특별시
3,동국제강,460860,"1차 철강 제조업","봉강,형강,후판,냉연강판,칼라강판",2023-06-16,12월,최삼영,http://www.dongkuksteel.com,서울특별시
4,이수스페셜티케미컬,457190,"기초 화학물질 제조업","석유화학제품 및 정밀화학제품",2023-05-31,12월,류승호,http://www.isuspecialtychemical.com,서울특별시
5,OCI,456040,"기초 화학물질 제조업","폴리실리콘,타르제품,카본블랙,무수프탈산,농약원제,석탄화학제품,정밀화학제품,플라스틱창호재 제조,판매",2023-05-30,12월,"김택중, 김유신",NULL,서울특별시
6,SK오션플랜트,100090,"1차 철강 제조업","해상풍력 하부구조물",2023-04-19,12월,이승철,http://www.skoceanplant.com/,경상남도
7,삼성FN리츠,448730,"부동산 임대 및 공급업","대치타워 및 에스원빌딩",2023-04-10,01월,윤양수,http://www.samsungfnreit.com/,서울특별시
8,현대그린푸드,453340,"종합 소매업","푸드서비스(단체급식), 식자재유통서비스, 공산품/생식품 유통서비스",2023-04-10,12월,박홍진,http://hyundaigreenfood.com,경기도
9,한화갤러리아,452260,"종합 소매업",백화점,2023-03-31,12월,김은수,http://www.hanwhagalleria.co.kr,서울특별시
10,한화리츠,451800,"부동산 임대 및 공급업",부동산투자,2023-03-27,04월,한화자산운용,NULL,서울특별시
11,코오롱모빌리티그룹,450140,"자동차 판매업","수입자동차 유통 및 정비업",2023-01-31,12월,"이규호, 전철원",http://www.kolonmobilitygroup.com/,경기도
12,바이오노트,377740,"의료용품 및 기타 의약 관련제품 제조업","Rapid 반제품 및 완제품, 동물용신속진단 키트",2022-12-22,12월,조병기,http://www.bionote.co.kr,경기도
13,유니드비티플러스,446070,"제재 및 목재 가공업","MDF 등",2022-11-28,12월,한상준,NULL,서울특별시
14,LX세미콘,108320,"반도체 제조업","Display Driver IC",2022-11-03,12월,손보익,http://www.lxsemicon.com,대전광역시
15,KB스타리츠,432320,"부동산 임대 및 공급업","벨기에 North Galaxy Towers, 영국 Samsung Europe HQ",2022-10-06,01월,신명재,http://www.kbstarreit.com,서울특별시
16,쏘카,403550,"운송장비 임대업","카셰어링, 모빌리티 플랫폼 등",2022-08-22,12월,박재욱,http://www.socarcorp.kr,제주특별자치도
17,수산인더스트리,126720,"건물설비 설치 공사업","전력발전설비 정비 용역",2022-08-01,12월,"한봉섭,김병현(각자대표)",http://www.soosanind.co.kr,충청남도
18,마스턴프리미어리츠,357430,"부동산 임대 및 공급업","프랑스 파리 소재 크리스탈파크, 프랑스 아마존 라스트마일 물류센터, 인천 항동 스마트물류센터",2022-05-31,03월,도병운,http://masternpremier.com,서울특별시
19,코람코더원리츠,417310,"부동산 임대 및 공급업","서울 영등포구 여의도 소재 하나금융투자 빌딩",2022-03-28,02월,서길석,http://koramcothe1.com,서울특별시
20,LG에너지솔루션,373220,"일차전지 및 축전지 제조업","2차전지 (소형,ESS,자동차전지)",2022-01-27,12월,권영수,NULL,서울특별시
21,신한서부티엔디리츠,404990,"부동산 임대 및 공급업",부동산투자,2021-12-10,12월,승만호,http://shsbreit.com,서울특별시
22,미래에셋글로벌리츠,396690,"부동산 임대 및 공급업","부동산 임대업",2021-12-03,03월,신현준,NULL,서울특별시
23,SK스퀘어,402340,"기타 금융업",지주회사,2021-11-29,12월,박성하,http://www.sksquare.com,서울특별시
24,NH올원리츠,400760,"부동산 임대 및 공급업",부동산투자,2021-11-18,12월,김범수,http://www.nhreits.com,서울특별시
25,카카오페이,377300,"금융 지원 서비스업","간편결제, 간편송금 및 기타 금융서비스",2021-11-03,12월,신원근,http://www.kakaopay.com,경기도
26,케이카,381970,"자동차 판매업","오프라인 및 온라인 중고차 매매업",2021-10-13,12월,정인국,http://www.kcar.com,서울특별시
27,HD현대중공업,329180,"선박 및 보트 건조업","선박, 해양플랜트 및 엔진기계 등",2021-09-17,12월,"한영석, 이상균 (각자 대표이사)",http://www.hhi.co.kr,울산광역시
28,SK리츠,395400,"부동산 임대 및 공급업","서울 중구 소재 SK서린빌딩 및 전국 116개 주유소 임대 운영",2021-09-14,03월,"에스케이리츠운용 주식회사",http://skreit.co.kr,서울특별시
29,일진하이솔루스,271940,"그외 기타 운송장비 제조업","수소승용용기, 매연저감장치 등",2021-09-01,12월,양성모,http://hysolus.co.kr,전라북도
30,디앤디플랫폼리츠,377190,"부동산 임대 및 공급업","부동산 투자 및 관리",2021-08-27,03월,이양원,http://dndplatformreit.com/,서울특별시
31,아주스틸,139990,"1차 철강 제조업","프리미엄 가전용 고품질 컬러강판, 건자재 등",2021-08-20,12월,이학연,http://www.ajusteel.com,경상북도
32,롯데렌탈,89860,"운송장비 임대업","렌터카, 카셰어링(그린카), 중고차매매, 일반렌탈(측정기,OA, 리프트 등)",2021-08-19,12월,최진환,http://www.lotterental.com/,경기도
33,한컴라이프케어,372910,"의료용 기기 제조업","공기호흡기, 방독면, 보호복 등",2021-08-17,12월,오병진,http://www.hancomlifecare.com,경기도
34,크래프톤,259960,"소프트웨어 개발 및 공급업","<배틀그라운드> 등 게임 소프트웨어",2021-08-10,12월,김창한,http://www.krafton.com,서울특별시
35,PI첨단소재,178920,"플라스틱제품 제조업",PI(Polyimide)제품,2021-08-09,12월,송금수,http://www.pimaterials.com,충청북도
36,카카오뱅크,323410,"은행 및 저축기관","은행 및 금융서비스",2021-08-06,12월,윤호영,NULL,경기도
37,에스디바이오센서,137310,"의료용 기기 제조업","STANDARD Q 항원/항체 진단키트(COVID-19 진단키트)",2021-07-16,12월,"이효근,허태영",http://sdbiosensor.co.kr/,경기도
38,엠씨넥스,97520,"영상 및 음향기기 제조업","모바일 카메라모듈,전장 카메라모듈,블랙박스,IP 카메라",2021-07-06,12월,민동욱,http://www.mcnex.co.kr,인천광역시
39,LX홀딩스,383800,"기타 금융업",지주회사,2021-05-27,12월,"구본준, 노진서",http://www.lxholdings.co.kr,서울특별시
40,F&F,383220,"봉제의복 제조업","MLB, MLB KIDS, DISCOVERY 등 패션의류제품",2021-05-21,12월,김창수,http://www.fnf.co.kr,서울특별시
41,엔에이치스팩19호,380440,"금융 지원 서비스업","기타 금융지원(SPAC)",2021-05-21,12월,조선희,NULL,서울특별시
42,SK아이이테크놀로지,361610,"일차전지 및 축전지 제조업","2차전지용 습식 분리막 및 폴더블 커버 윈도우",2021-05-11,12월,김철중,http://www.skietechnology.com/,서울특별시
43,SK바이오사이언스,302440,"기초 의약물질 및 생물학적 제제 제조업","백신 제품 및 제제",2021-03-18,12월,안재용,http://www.skbioscience.com,경기도
44,화승알앤에이,378850,"자동차 신품 부품 제조업","자동차용 고무제품",2021-03-15,12월,김형진,http://www.hsrna.com,경상남도
45,프레스티지바이오파마,950210,"자연과학 및 공학 연구개발업","바이오시밀러 및 항체의약품 신약",2021-02-05,06월,박소연,http://www.prestigebiopharma.com,싱가포르
46,솔루엠,248070,"전자부품 제조업","POWER, 3in1 Board, ESL 등",2021-02-02,12월,전성호,http://www.solu-m.com,경기도
47,DL이앤씨,375500,"토목 건설업","토목 건설 사업",2021-01-25,12월,마창민,NULL,서울특별시
48,ESR켄달스퀘어리츠,365550,"부동산 임대 및 공급업",부동산투자,2020-12-23,05월,조주현,http://www.esrks-reit.com,서울특별시
49,명신산업,9900,"자동차 신품 부품 제조업",자동차차체부품,2020-12-07,12월,최우철,http://www.myoungshinindustry.com,경상북도
50,에이플러스에셋,244920,"보험 및 연금관련 서비스업","보험대리 및 중개업",2020-11-20,12월,"곽근호, 서성식, 조규남",NULL,서울특별시
51,교촌에프앤비,339770,"음·식료품 및 담배 도매업","치킨 프랜차이즈",2020-11-12,12월,윤진호,http://kyochonfnb.com,경상북도
52,하이브,352820,"오디오물 출판 및 원판 녹음업","음악 기획/제작, 퍼블리싱, 아티스트 매니지먼트",2020-10-15,12월,박지원,http://hybecorp.com,서울특별시
53,티와이홀딩스,363280,"기타 금융업",지주사업,2020-09-22,12월,유종연,http://www.ty-holdings.co.kr,서울특별시
54,코람코에너지리츠,357120,"부동산 임대 및 공급업","부동산 투자 및 관리",2020-08-31,11월,이성균,http://www.koramcoenergyplus.co.kr,서울특별시
55,제이알글로벌리츠,348950,"부동산 임대 및 공급업","벨기에 파이낸스 타워",2020-08-07,06월,오남수,http://jrglobalreit.com,서울특별시
56,미래에셋맵스리츠,357250,"부동산 임대 및 공급업","부동산 임대업",2020-08-05,11월,정상구,http://www.maps1reit.miraeasset.com,서울특별시
57,이지스레지던스리츠,350520,"부동산 임대 및 공급업","부동산투자, 취득, 매매, 임대",2020-08-05,06월,박영희,http://igisresidencereit.com/,서울특별시
58,이지스밸류플러스리츠,334890,"부동산 임대 및 공급업","부동산투자, 취득, 매매, 임대",2020-07-16,08월,도병운,http://www.igisvaluereit.com,서울특별시
59,에스케이바이오팜,326030,"자연과학 및 공학 연구개발업","신경질환 및 정신질환을 포함한 중추신경 관련 신약 개발",2020-07-02,12월,이동훈,NULL,경기도
60,대덕전자,353200,"전자부품 제조업","PCB(Printed Circuit Board, 인쇄회로기판)의 제조 및 판매",2020-05-21,12월,신영환,http://www.daeduck.com,경기도
61,케이씨씨글라스,344820,"유리 및 유리제품 제조업","판유리 등",2020-01-21,12월,김내환,http://www.kccglass.co.kr,서울특별시
62,NH프라임리츠,338100,"부동산 임대 및 공급업","부동산 투자",2019-12-05,11월,소선호,http://www.nhreits.com,서울특별시
63,씨티알모빌리티,308170,"자동차 신품 부품 제조업","이너레이스, 오디 클러치보스, 로터샤프트, 슬리브기어, 컨트롤 암, 엑슬",2019-11-25,12월,"이동옥, 강태룡",http://www.centralmotek.co.kr,울산광역시
64,HD현대에너지솔루션,322000,"반도체 제조업","태양광 셀·모듈, PV시스템, ESS",2019-11-19,12월,박종환,http://www.hd-hyundaies.co.kr/,경기도
65,한화시스템,272210,"전자부품 제조업","정밀기기(육해공군관련전자제어시스템,열영상감시장비,탐지추적장치,전투지휘체계시스템) 제조",2019-11-13,12월,어성철,http://hanwhasystems.com,경상북도
66,자이에스앤디,317400,"부동산 임대 및 공급업","부동산 관리, 정보통신 공사, 아파트 AS 및 옵션 제품 공급, 건축물 시공 및 분양",2019-11-06,12월,엄관석,http://www.xisnd.com/,서울특별시
67,롯데리츠,330590,"부동산 임대 및 공급업",부동산투자,2019-10-30,06월,"롯데에이엠씨 주식회사",http://www.lottereit.co.kr/,서울특별시
68,지누스,13890,"가구 제조업","매트리스 및 가구제품",2019-10-30,12월,심재형,http://www.zinus.co.kr,경기도
69,두산퓨얼셀,336260,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",연료전지,2019-10-18,12월,"정형락, 제후석 (각자 대표이사)",http://www.doosanfuelcell.com,전라북도
70,솔루스첨단소재,336370,"전자부품 제조업","동박, 유압기기 등",2019-10-18,12월,"진대제, 서광벽(각자 대표이사)",http://www.solusadvancedmaterials.com,전라북도
71,콘텐트리중앙,36420,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화 및 방송프로그램 제작, 유통, 광고",2019-10-18,12월,"남주현, 홍정인(각자대표)",http://www.jcontentree.com/,서울특별시
72,포스코퓨처엠,3670,"일차전지 및 축전지 제조업","내화물, 생석회, 음극재 및 양극재",2019-05-29,12월,김준형,http://www.poscofuturem.com,경상북도
73,현대오토에버,307950,"소프트웨어 개발 및 공급업","전산실운영, 시스템구축, 전산장비 납품, SOC/건축 사업",2019-03-28,12월,서정식,http://www.hyundai-autoever.com,서울특별시
74,드림텍,192650,"전자부품 제조업","모바일 PBA, 지문인식 모듈, 전장 LED 모듈 등",2019-03-14,12월,"김형민, 박찬홍(각자대표)",http://www.idreamtech.co.kr,경기도
75,더블유게임즈,192080,"소프트웨어 개발 및 공급업",모바일게임,2019-03-12,12월,김가람,http://www.doubleugames.com,서울특별시
76,우리금융지주,316140,"기타 금융업",금융지주,2019-02-13,12월,임종룡,http://www.woorifg.com/,서울특별시
77,에어부산,298690,"항공 여객 운송업","항공 여객 및 화물 운송",2018-12-27,12월,안병석,http://www.airbusan.com,부산광역시
78,아시아나IDT,267850,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT 서비스, IT 솔루션",2018-11-23,12월,서근식,http://www.asianaidt.com,서울특별시
79,세아제강,306200,"1차 철강 제조업",강관,2018-10-05,12월,"이휘령, 김석일",http://www.seahsteel.co.kr,서울특별시
80,하나제약,293480,"의약품 제조업",완제의약품,2018-10-02,12월,최태홍,http://www.hanaph.co.kr,경기도
81,우진아이엔에스,10400,"건물설비 설치 공사업","반도체/디스플레이 코팅덕트",2018-09-14,12월,홍경모,http://www.woojini.com,서울특별시
82,신한알파리츠,293940,"부동산 임대 및 공급업","비거주 부동산 임대 서비스업",2018-08-08,03월,이준구,http://www.shalphareit.com,서울특별시
83,한일시멘트,300720,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트, 레미콘, 레미탈",2018-08-06,12월,전근식,http://www.hanilcement.com,서울특별시
84,티웨이항공,91810,"항공 여객 운송업","저가 항공운송",2018-08-01,12월,정홍근,http://www.twayair.com,대구광역시
85,롯데정보통신,286940,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","SM, SI",2018-07-27,12월,노준형,http://www.ldcc.co.kr,서울특별시
86,효성중공업,298040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",-,2018-07-13,12월,"양동기 / 요코타 타케시",http://www.hyosungheavyindustries.com,서울특별시
87,효성첨단소재,298050,"화학섬유 제조업",PET타이어코드,2018-07-13,12월,조용수,http://www.hyosungadvancedmaterials.com,서울특별시
88,효성티앤씨,298020,"화학섬유 제조업","섬유, 산업자재, 화학, 중공업, 건설, 무역,금융 등",2018-07-13,12월,김치형,http://www.hyosungtnc.com,서울특별시
89,효성화학,298000,"기초 화학물질 제조업",-,2018-07-13,12월,이건종,http://www.hyosungchemical.com,서울특별시
90,이리츠코크렙,88260,"부동산 임대 및 공급업",부동산투자회사,2018-06-27,06월,김영규,NULL,서울특별시
91,HDC현대산업개발,294870,"건물 건설업","외주주택, 자체공사, 일반건축, 토목 등",2018-06-12,12월,"최익훈, 정익희, 김회언 (각자 대표이사)",http://www.hdc-dvp.com,서울특별시
92,애경산업,18250,"기타 화학제품 제조업","Age 20's,루나, 트리오, 2080치약, 순샘, 제트 등",2018-03-22,12월,"채동석, 임재영",http://www.aekyung.co.kr,서울특별시
93,셀트리온,68270,"기초 의약물질 및 생물학적 제제 제조업","램시마, 트룩시마, 허쥬마",2018-02-09,12월,기우성,http://www.celltrion.com,인천광역시
94,쿠쿠홈시스,284740,"개인 및 가정용품 임대업","정수기, 공기청정기 등",2018-01-11,12월,구본학,"http://www,cuckoo.co.kr",경기도
95,SK케미칼,285130,"합성고무 및 플라스틱 물질 제조업","PETG 수지, PET 수지, 바이오디젤, 백신",2018-01-05,12월,"김철, 안재현",http://www.skchemicals.com,경기도
96,BGF리테일,282330,"종합 소매업","체인화 편의점",2017-12-08,12월,이건준,http://www.bgfretail.com,서울특별시
97,동양피스톤,92780,"자동차용 엔진 및 자동차 제조업","자동차엔진용 피스톤",2017-12-08,12월,홍순겸,NULL,경기도
98,진에어,272450,"항공 여객 운송업","여객, 화물 등 항공운송",2017-12-08,12월,박병률,http://www.jinair.com,서울특별시
99,케이씨텍,281820,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체, 디스플레이 제조 장비",2017-12-05,12월,"양호근, 최동규 (각자 대표이사)",http://www.kctech.co.kr,경기도
100,동아타이어,282690,"고무제품 제조업","타이어 및 튜브",2017-11-29,12월,"김상헌,황덕환",http://www.dongahtire.co.kr,경상남도
101,삼양패키징,272550,"플라스틱제품 제조업","PET 용기 및 아셉틱 OEM",2017-11-29,12월,김재홍,http://www.samyangpackaging.co.kr/,서울특별시
102,테이팩스,55490,"플라스틱제품 제조업","OCA, 2차전지용 테이프, 산업용 랩 등",2017-10-31,12월,김상구,http://tapex.co.kr,경기도
103,롯데웰푸드,280360,"기타 식품 제조업","껌,캔디,초코,비스켓,빙과",2017-10-30,12월,"신동빈, 이영구, 이창엽",http://www.lottewellfood.com,서울특별시
104,제일약품,271980,"의약품 제조업",의약품,2017-07-17,12월,성석제,http://www.jeilpharm.co.kr,서울특별시
105,카카오,35720,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","인터넷 서비스(인터넷 광고)",2017-07-10,12월,"홍은택 대표이사",http://www.kakaocorp.com,제주특별자치도
106,오리온,271560,"기타 식품 제조업","스낵 등 과자류",2017-07-07,12월,이승준,http://www.orionworld.com,서울특별시
107,미원에스씨,268280,"기초 화학물질 제조업",에너지경화수지,2017-05-22,12월,"김형웅, 배원",http://www.miramer.co.kr,전라북도
108,경동도시가스,267290,"연료용 가스 제조 및 배관공급업",도시가스,2017-05-12,12월,"송재호, 나윤호",http://www.kdgas.co.kr,울산광역시
109,넷마블,251270,"소프트웨어 개발 및 공급업","온라인·모바일 게임 소프트웨어 개발 및 공급",2017-05-12,12월,"권영식, 도기욱(각자 대표집행임원)",http://company.netmarble.com,서울특별시
110,HD현대,267250,"기타 금융업",지주회사,2017-05-10,12월,"권오갑, 정기선",http://www.hdhyundai.co.kr,경기도
111,HD현대건설기계,267270,"일반 목적용 기계 제조업","굴삭기, 지게차, 휠로더 등",2017-05-10,12월,최철곤,http://www.hd-hyundaice.com,경기도
112,HD현대일렉트릭,267260,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","변압기, 고압차단기, 회전기, 배전반 등",2017-05-10,12월,"조 석",http://www.hyundai-elec.com,경기도
113,크라운제과,264900,"기타 식품 제조업","비스킷, 스낵, 당과",2017-04-11,12월,윤석빈,http://www.crown.co.kr,서울특별시
114,덴티움,145720,"의료용 기기 제조업","치과용 기기 제조업",2017-03-15,12월,서승우,http://www.dentium.co.kr,서울특별시
115,호전실업,111110,"봉제의복 제조업","스포츠웨어 및 아웃도어 웨어 OEM",2017-02-02,12월,"박용철 박진호",http://www.hojeon.com,서울특별시
116,핸즈코퍼레이션,143210,"자동차 신품 부품 제조업","자동차 알루미늄 휠",2016-12-02,12월,승현창,http://www.handscorp.co.kr,인천광역시
117,두산밥캣,241560,"특수 목적용 기계 제조업","Compact Equipment, Heavy Equipment, Portable Power",2016-11-18,12월,"스캇성철박, 조덕제",http://www.doosanbobcat.com,경기도
118,삼성바이오로직스,207940,"기초 의약물질 및 생물학적 제제 제조업",바이오의약품,2016-11-10,12월,"임존종보 (Rim John Chongbo)",http://www.samsungbiologics.com,인천광역시
119,JW생명과학,234080,"의약품 제조업","기초수액, TPN, 특수수액, HEMO, 영양수액 등",2016-10-27,12월,차성남,http://www.jw-lifescience.co.kr,충청남도
120,화승엔터프라이즈,241590,"신발 및 신발 부분품 제조업",NULL,2016-10-04,12월,이계영,http://www.hsenterprise.co.kr,부산광역시
121,LS전선아시아,229640,"기타 금융업",NULL,2016-09-22,12월,이상호,http://www.lscnsasia.co.kr,서울특별시
122,모두투어리츠,204210,"부동산 임대 및 공급업","호텔 부동산 취득, 관리, 개량 및 처분",2016-09-22,12월,최동주,http://www.modetourreit.com,서울특별시
123,일동제약,249420,"의약품 제조업","아로나민, 후루마린, 큐란, 라비에트, 사미온 등",2016-08-31,12월,윤웅섭,http://www.ildong.com,서울특별시
124,샘표식품,248170,"기타 식품 제조업",간장,2016-08-09,12월,박진선,http://www.sempio.com,서울특별시
125,두올,16740,"자동차 신품 부품 제조업","시트 커버 및 시트 원단",2016-07-29,12월,"조인회, 정재열",http://www.idual.co.kr,서울특별시
126,동서,26960,"음·식료품 및 담배 도매업","식품 유통, 다류 및 연포장재 제조 등",2016-07-15,12월,김종원,http://www.dongsuh.com,서울특별시
127,한국자산신탁,123890,"신탁업 및 집합투자업","부동산 신탁 서비스, REITs",2016-07-13,12월,김규철,http://www.kait.com,서울특별시
128,한국토지신탁,34830,"신탁업 및 집합투자업","부동산신탁 등",2016-07-11,12월,"최윤성, 김정선",http://www.koreit.co.kr,서울특별시
129,해성디에스,195870,"전자부품 제조업","반도체 패키지용 Substrate",2016-06-24,12월,조병학,http://www.haesungds.com,경상남도
130,용평리조트,70960,"일반 및 생활 숙박시설 운영업","리조트 운영, 콘도 분양",2016-05-27,12월,"신달순, 임학운 공동대표",http://www.yongpyong.co.kr,강원특별자치도
131,용평리조트,70960,"일반 및 생활 숙박시설 운영업","리조트 운영, 콘도 분양",2016-05-27,12월,"신달순, 임학운 공동대표",http://www.yongpyong.co.kr,강원도
132,해태제과식품,101530,"기타 식품 제조업","홈런볼, 오예스, 맛동산, 부라보콘 등",2016-05-11,12월,"신정훈, 이상진(각자대표)",http://www.ht.co.kr,충청남도
133,삼일씨엔에스,4440,"시멘트, 석회, 플라스터 및 그 제품 제조업","PHC파일, 골재, 강교제작",2016-03-30,12월,강흥구,http://www.esamilcns.com,서울특별시
134,제이에스코퍼레이션,194370,"가죽, 가방 및 유사제품 제조업","핸드백 및 지갑",2016-02-04,12월,홍재성,http://www.jskor.com,서울특별시
135,잇츠한불,226320,"기타 화학제품 제조업","스킨케어 베이직, 포인트 메이크업, 스킨케어 스페셜, 베이스 메이크업 등",2015-12-28,12월,김양수,http://www.itshanbul.com,서울특별시
136,세진중공업,75580,"선박 및 보트 건조업","선박 Deck House, LPG Tank, Upper Deck Unit, 해양플랜트 Living Quarter",2015-11-30,12월,최양환,http://www.sejinheavy.com,울산광역시
137,금호에이치티,214330,"자동차 신품 부품 제조업","자동차용 전구 및 LED모듈",2015-11-11,12월,"김진곤, 김두인(각자대표)",http://www.kumhoht.co.kr,광주광역시
138,제주항공,89590,"항공 여객 운송업","여객운송서비스, 화물운송서비스",2015-11-06,12월,김이배,http://www.jejuair.net,제주특별자치도
139,현대코퍼레이션홀딩스,227840,"음·식료품 및 담배 도매업","브랜드사업, 육류유통",2015-10-23,12월,"정몽혁, 김원갑(각자대표이사)",http://www.hyundaicorpholdings.com,서울특별시
140,LIG넥스원,79550,"무기 및 총포탄 제조업","정밀유도무기 등",2015-10-02,12월,김지찬,http://www.lignex1.com,경기도
141,HDC랩스,39570,"전기 및 통신 공사업","기계설비공사, 스마트홈, 지능형 빌딩, SOC, 인테리어, 조경, 시설관리",2015-09-24,12월,김성은,http://www.hdc-labs.com/,서울특별시
142,동일제강,2690,"1차 철강 제조업","PC강연선, 경강선, 도금선, 마봉강",2015-09-24,12월,"민세홍, 양영석, 김우진 (각자대표)",http://www.dongil-steel.com,경기도
143,AJ네트웍스,95570,"산업용 기계 및 장비 임대업","렌탈(파렛트, OA장비, 건설장비)",2015-08-21,12월,손삼달,http://www.ajnet.co.kr,서울특별시
144,이노션,214320,광고업,"광고대행 및 광고물의 제작 등",2015-07-17,12월,이용우,http://www.innocean.com,서울특별시
145,토니모리,214420,"기타 화학제품 제조업","스킨케어 베이직, 포인트 메이크업, 스킨케어 스페셜, 베이스 메이크업 등",2015-07-10,12월,김승철,http://www.tonysteet.com,서울특별시
146,미래에셋생명,85620,보험업,생명보험상품,2015-07-08,12월,"변재상, 김재식",http://life.miraeasset.com,서울특별시
147,경보제약,214390,"기초 의약물질 및 생물학적 제제 제조업","아토르바스타틴, 세프티족심, 세프트리약손",2015-06-29,12월,김태영,http://www.kbpharma.co.kr,충청남도
148,SK디앤디,210980,"부동산 임대 및 공급업","비주거용 부동산개발 및 임대(오피스, 지식산업센터, 호텔 등)",2015-06-23,12월,김도현,http://www.skdnd.com,경기도
149,다이나믹디자인,145210,"특수 목적용 기계 제조업","타이어 금형, 타이어 제조설비",2015-03-19,12월,"황 응 연",http://www.saehwaimc.com,광주광역시
150,한솔제지,213500,"펄프, 종이 및 판지 제조업","인쇄용지, 산업용지, 특수지 제조 및 판매",2015-01-26,12월,한철규,http://www.hansolpaper.co.kr,서울특별시
151,디와이파워,210540,"특수 목적용 기계 제조업","유공압기기 등",2015-01-15,12월,박치웅,http://power.dy.co.kr,경상남도
152,삼성물산,28260,"기타 전문 도매업","도소매, 건설, 남자용 정장 제조업 등",2014-12-18,12월,"고정석, 오세철, 정해린",http://www.samsungcnt.com,서울특별시
153,씨에스윈드,112610,"구조용 금속제품, 탱크 및 증기발생기 제조업","풍력발전타워 제조",2014-11-27,12월,"김성권, 김승범",http://www.cswind.com,서울특별시
154,삼성에스디에스,18260,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT서비스, 물류BPO",2014-11-14,12월,황성우,http://www.samsungsds.com,서울특별시
155,HL만도,204320,"자동차 신품 부품 제조업","제동장치, 조향장치, 현가장치",2014-10-06,12월,"조성현, 김현욱 (각자대표)",http://www.mando.com,경기도
156,서연이화,200880,"자동차 신품 부품 제조업","자동차 도어 트림 및 시트",2014-08-08,12월,강용석,http://www.seoyoneh.com,경기도
157,쿠쿠홀딩스,192400,"기타 금융업","주방용 전기기기 제조업",2014-08-06,12월,구본학,http://www.cuckoo.co.kr,경상남도
158,화인베스틸,133820,"1차 철강 제조업","조선용 형강(부등변 부등후 앵글, 부등호 앵글, 등변앵글 평철 등)",2014-07-22,12월,박정묵,http://www.finebesteel.com,경상남도
159,BGF,27410,"기타 금융업",지주회사,2014-05-19,12월,홍정국,http://www.bgf.co.kr,서울특별시
160,코스맥스,192820,"기타 화학제품 제조업",화장품,2014-04-07,12월,"심상배, 이병주",http://www.cosmax.com,경기도
161,종근당,185750,"의약품 제조업","딜라트렌,리피로우",2013-12-06,12월,김영주,http://www.ckdpharm.com,서울특별시
162,신송홀딩스,6880,"산업용 농·축산물 및 동·식물 도매업","사업경영 및 관리자문",2013-11-21,12월,조갑주,http://www.singsongholdings.com,서울특별시
163,아세아시멘트,183190,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트, 레미콘, 몰탈",2013-11-06,12월,"임경태, 김웅종",http://www.asiacement.co.kr,서울특별시
164,현대로템,64350,"철도장비 제조업","철도차량, 특수중기, 산업기계",2013-10-30,12월,이용배,http://www.hyundai-rotem.co.kr,경상남도
165,한진칼,180640,"항공 여객 운송업","지주사업, 경영자문 및 컨설팅",2013-09-16,12월,"조원태, 류경표",http://www.hanjinkal.co.kr,서울특별시
166,엔에이치엔,181710,"소프트웨어 개발 및 공급업",한게임,2013-08-29,12월,정우진,http://www.nhn.com,경기도
167,JB금융지주,175330,"기타 금융업","금융지주 회사",2013-07-18,12월,김기홍,http://www.jbfg.com,전라북도
168,DSR,155660,"1차 비철금속 제조업",합섬섬유로프,2013-05-15,12월,홍석빈,http://www.dsr.com,부산광역시
169,한국패러랠,168490,"신탁업 및 집합투자업",NULL,2013-04-19,03월,한국투자리얼에셋운용,NULL,서울특별시
170,동아에스티,170900,"의약품 제조업","스티렌, 자이데나",2013-04-08,12월,김민영,http://www.donga.co.kr,서울특별시
171,지엠비코리아,13870,"자동차 신품 부품 제조업","VS, TIB, CVJoint 등",2012-11-20,12월,"정세영, 송병영",http://www.gmb.co.kr,경상남도
172,LG헬로비전,37560,"텔레비전 방송업","케이블TV, 인터넷서비스 등",2012-11-09,12월,송구영,http://www.lghellovision.net,서울특별시
173,동일고무벨트,163560,"고무제품 제조업","산업용고무제품, 종합고무부품",2012-10-19,12월,이윤환,http://www.drbworld.com,부산광역시
174,한국콜마,161890,"기타 화학제품 제조업","화장품, 의약품",2012-10-19,12월,최현규,http://https://www.kolmar.co.kr/,세종특별자치시
175,한국타이어앤테크놀로지,161390,"고무제품 제조업","타이어 제조",2012-10-04,12월,이수일,http://www.hankooktire.com,경기도
