id,stock_code,jobp_rating,jobp_paywellfare,jobp_worklifebal,jobp_culture,jobp_opportunity,jobp_manager,jobp_recommend,jobp_ceo,jobp_potential,jobp_cnt,blind_rating,blind_cnt,blind_opportunity,blind_worklifebal,blind_paywellfare,blind_culture,blind_manager,corp
72,004060,2.4,2,2.6,2.2,2.5,1.9,0.24,0.21,0.04,217,2.3,49,2.2,3.1,1.7,1.9,1.7,SG세계물산
73,002360,2.7,2.2,3.2,2.6,3,2.1,0.31,0.23,0.09,35,2.6,12,2.5,3.3,1.8,2.6,2,SH에너지화학
74,009160,2.5,2.7,2.6,2.6,2.5,2.4,0.29,0.53,0.13,178,2.7,29,2.6,2.6,2.5,2.4,2.4,SIMPAC
75,034730,3.4,3.2,3.1,3.3,3.4,2.9,0.53,0.57,0.2,2819,3.5,569,3.1,3.8,3.3,3.6,2.8,SK
76,011790,3.6,3.4,3.7,3.8,3.2,2.8,0.64,0.58,0.27,545,3.4,185,3.2,3.5,3.5,3.2,2.7,SKC
77,018670,3.3,3.5,3.2,3,3.1,2.8,0.64,0.62,0.38,110,3.5,181,3,3.3,3.3,3.1,2.9,SK가스
78,001740,3.3,3.3,3.5,3.4,3,2.7,0.46,0.55,0.19,243,3.4,119,3.1,4.1,3.3,3.8,2.8,SK네트웍스
79,006120,5,5,5,4,5,5,1,1,1,1,3.6,36,3.7,3.4,3.6,3.5,3.1,SK디스커버리
80,210980,3,3.2,2.9,2.5,2.7,2.6,0.43,0.55,0.31,78,3.1,136,3.3,3.3,3.1,2.8,2.5,SK디앤디
81,068400,2.7,2.5,3.1,2.7,2.3,2.3,0.29,0.41,0.26,101,2.9,129,2.7,3.4,2.4,2.8,2.3,SK렌터카
82,302440,3.3,3.6,3,3.3,3.1,2.7,0.57,0.61,0.43,276,3.4,310,3.6,2.9,3.3,3.4,2.7,SK바이오사이언스
83,361610,4.2,4.5,3.9,3.9,3.7,3.3,0.81,0.75,0.5,16,4.1,32,3.6,3.9,4.1,4.3,3.7,SK아이이테크놀로지
84,100090,2.2,1.8,2.4,2.2,2.5,2.1,0.18,0.4,0.27,99,2.5,57,2.7,2.2,1.8,2.1,2,SK오션플랜트
85,096770,4,4.1,4,3.9,3.5,3.3,0.78,0.73,0.49,379,3.2,1962,3.2,3.2,3.3,3.2,2.8,SK이노베이션
86,285130,3.2,3.1,3,3.3,3.1,2.8,0.5,0.57,0.28,492,3.3,568,3.1,3.5,2.8,3.4,2.6,SK케미칼
