corp,stock_code,sector,year,revenue,cost_of_sales,gross_profit,operating_income,net_income,ebit,ebitda,total_equity,total_assets,total_liabilities,current_assets,current_liabilities,non_current_liabilities,short_borrowing,long_borrowing,cash_and_equivalents,retained_earnings,ppe,intangible_assets,accounts_receivable,inventory,accounts_payable,outstanding_shares,cash_flow_operating,tangible_assets,selling_general_administrative_expenses,cash_flow_investing,cash_flow_financing,long_term_assets,interest,tax,stock_price,borrowings,net_liabilities,fixed_assets,cash_flow_per_share,minimum_wage,us_kor_exchange_avg,ppi_year,kor_usa_ir_diff,total_rank,simple_total_rank,count,rating,paywellfare,worklifebal,culture,opportunity,manager,recommend,ceo,potential
BYC,001460,섬유의복,2018,197864080352.0,124040904813.0,73823175539.0,21346820739.0,9092446196.0,19181901417.0,19181901417.0,407403446983.0,738431267101.0,331027820118.0,89810780063.0,82142589839.0,248885230279.0,11537425312.0,155000000000.0,27032561999.0,396820011520.0,66659239000.0,311705219.0,6020220719.0,54609507716.0,16643723139.0,1680000,49052410181.0,66659239000.0,38687251077.0,-21463281256.0,-20660505521.0,648620487038.0,8790422481.0,3860076605.0,246000.0,166537425312.0,303995258119.0,66970944219.0,29197.86320297619,7530,1100.58,103.48,-0.2916,,,272.0,2.24,1.82,3.32,2.26,1.98,1.78,0.65,0.64,0.55
BYC,001460,섬유의복,2019,170589026967.0,101169466025.0,69419560942.0,23393686890.0,27788949736.0,41765310036.0,41765310036.0,434327453651.0,693882852856.0,259555399205.0,118321885500.0,109379625182.0,150175774023.0,56319315869.0,56500000000.0,14794923014.0,423837613913.0,68972515251.0,289695519.0,5923595226.0,45676332163.0,13814107211.0,1680000,18715998757.0,68972515251.0,36275124513.0,41944072260.0,-73191907439.0,575560967356.0,8442574613.0,11647125024.0,236500.0,112819315869.0,244760476191.0,69262210770.0,11140.475450595239,8350,1166.11,103.5,-0.5625,,,272.0,2.24,1.82,3.32,2.26,1.98,1.78,0.65,0.64,0.55
BYC,001460,섬유의복,2020,161863377007.0,93110793721.0,68752583286.0,22940934002.0,18285121577.0,28229972083.0,28229972083.0,452668025243.0,679134863796.0,226466838553.0,116356314223.0,121169200638.0,105297637915.0,38809977600.0,45500000000.0,45351790241.0,441628493381.0,61432622412.0,517444465.0,4338336779.0,34704886422.0,12211804952.0,1680000,35408711119.0,61432622412.0,37823597095.0,26188306973.0,-31102655713.0,562778549573.0,5939971244.0,14488793291.0,286500.0,84309977600.0,181115048312.0,61950066877.0,21076.613761309523,8590,1180.01,103.03,0.2917,,,272.0,2.24,1.82,3.32,2.26,1.98,1.78,0.65,0.64,0.55
BYC,001460,섬유의복,2021,164445893789.0,94549164714.0,69896729075.0,26711346464.0,29855489397.0,40190338094.0,40190338094.0,481812264546.0,684434512150.0,202622247604.0,133338983564.0,130677556899.0,71944690705.0,28227390764.0,0.0,51701715910.0,470032300953.0,69036986885.0,430262619.0,4923098323.0,30955006187.0,14654573159.0,1680000,35707429153.0,69036986885.0,35853941946.0,3766574811.0,-33059365189.0,551095528586.0,3109425101.0,8555730683.0,450500.0,28227390764.0,150920531694.0,69467249504.0,21254.422114880952,8720,1144.61,109.6,0.5208,,,272.0,2.24,1.82,3.32,2.26,1.98,1.78,0.65,0.64,0.55
BYC,001460,섬유의복,2022,169680336869.0,97946673770.0,71733663099.0,25326353051.0,35286502037.0,48115688693.0,48115688693.0,515737286382.0,668872026401.0,153134740019.0,120182142295.0,79177003824.0,73957736195.0,28274736768.0,0.0,55069881153.0,503974539235.0,77727018083.0,649545711.0,4897177642.0,38420149882.0,15071770174.0,1680000,10468407024.0,77727018083.0,39372632161.0,43321938941.0,-50413187488.0,548689884106.0,3470943339.0,12251693281.0,366000.0,28274736768.0,98064858866.0,78376563794.0,6231.194657142857,9160,1292.2,118.78,0.2292,,,272.0,2.24,1.82,3.32,2.26,1.98,1.78,0.65,0.64,0.55
CJ,001040,기타금융,2018,29523435477000.0,21170216737000.0,8353218740000.0,1332475208000.0,880027278000.0,1319664685000.0,1319664685000.0,12521810245000.0,31729548648000.0,19207738403000.0,8867107695000.0,10998410550000.0,8209327853000.0,4106708423000.0,1767900780000.0,1473565899000.0,3336515558000.0,12970204923000.0,6168778156000.0,3534816257000.0,2023661340000.0,2088316945000.0,62874442,1541092351000.0,12970204923000.0,7020743532000.0,-2126012873000.0,827350780000.0,22860194353000.0,841170612000.0,277104316000.0,121500.0,5874609203000.0,17734172504000.0,19138983079000.0,24510.632651022177,7530,1100.58,103.48,-0.2916,AA-,AA,3036.0,3.18,3.36,2.91,3.08,2.9,2.87,0.65,0.76,0.44
CJ,001040,기타금융,2019,33779706665000.0,24634400467000.0,9145306198000.0,1509154524000.0,323842817000.0,597074918000.0,597074918000.0,14615084935000.0,40381364593000.0,25766279658000.0,10638224744000.0,12283359396000.0,13481603409000.0,3268625614000.0,2907878175000.0,1602642314000.0,3533424597000.0,13517262358000.0,7005911329000.0,3580221845000.0,2549025328000.0,2743572555000.0,71327466,3864576582000.0,13517262358000.0,7636151674000.0,-4895720982000.0,1167135536000.0,29228666310000.0,1090448593000.0,506961741000.0,96600.0,6176503789000.0,24163637344000.0,20523173687000.0,54180.7637187055,8350,1166.11,103.5,-0.5625,AA-,AA,3036.0,3.18,3.36,2.91,3.08,2.9,2.87,0.65,0.76,0.44
CJ,001040,기타금융,2020,31999102947000.0,23391528118000.0,8607574829000.0,1390340166000.0,204007798000.0,513697772000.0,513697772000.0,15396226075000.0,40024965069000.0,24628738994000.0,11077496820000.0,11422602369000.0,13206136625000.0,3092611322000.0,3065207901000.0,2603100147000.0,3604574736000.0,13002525157000.0,6561953874000.0,3320554672000.0,2238146145000.0,2368251431000.0,71327466,3032814780000.0,13002525157000.0,7217234663000.0,-1443779122000.0,-537230169000.0,28906855585000.0,1335813027000.0,452428179000.0,92100.0,6157819223000.0,22025638847000.0,19564479031000.0,42519.59238254728,8590,1180.01,103.03,0.2917,AA-,AA,3036.0,3.18,3.36,2.91,3.08,2.9,2.87,0.65,0.76,0.44
CJ,001040,기타금융,2021,34484026554000.0,24787913920000.0,9696112634000.0,1881800099000.0,806961658000.0,1300849491000.0,1300849491000.0,16463530116000.0,41955995804000.0,25492465688000.0,12020596817000.0,12546083570000.0,12946382118000.0,3205342324000.0,2467662370000.0,3193864799000.0,3809734660000.0,13453497278000.0,6741941222000.0,3640572265000.0,2735868912000.0,2760881123000.0,71327466,3353190728000.0,13453497278000.0,7814312535000.0,-1623491611000.0,-1230196115000.0,29903605514000.0,976810779000.0,543109508000.0,83400.0,5673004694000.0,22298600889000.0,20195438500000.0,47011.21343635003,8720,1144.61,109.6,0.5208,AA-,AA,3036.0,3.18,3.36,2.91,3.08,2.9,2.87,0.65,0.76,0.44
CJ,001040,기타금융,2022,40924879773000.0,29696090453000.0,11228789320000.0,2154201790000.0,686845690000.0,1056239012000.0,1056239012000.0,17733633488000.0,48240408307000.0,30506774819000.0,15143819806000.0,16950325414000.0,13556449405000.0,5714650512000.0,2382867707000.0,4021275506000.0,3962816952000.0,14277413784000.0,8334333354000.0,4406167598000.0,3707465503000.0,3356993821000.0,71327466,4044985960000.0,14277413784000.0,9074587530000.0,-4610826113000.0,1379245056000.0,33066755593000.0,1488595046000.0,539886694000.0,84100.0,8097518219000.0,26485499313000.0,22611747138000.0,56710.07519039019,9160,1292.2,118.78,0.2292,AA-,AA,3036.0,3.18,3.36,2.91,3.08,2.9,2.87,0.65,0.76,0.44
