corp,stock_code,sector,year,ebitda_margin,ebitda_to_interest_expense,debt_ratio,dependence_on_net_borrowings,net_borrowings_to_ebitda,revenue,cogs,selling_general_administrative_expenses,ebit,ebit_margin,ebitda_to_sales_revenue,total_assets,return_on_assets,ebitda,financial_expenses,corporate_tax,operating_cash_flow,free_cash_flow,total_liabilities,total_equity,total_borrowings,net_borrowings,borrowing_dependency,total_borrowings_to_ebitda,debt_to_net_income_ratio,total_assets_leverage,current_liabilities,working_capital,current_liabilities_ratio,quick_assets,quick_ratio,cash_and_cash_equivalents,short_term_borrowings,days_sales_outstanding,average_accounts_receivable_per_sales_turnover,market_capitalization,minimum_wag,uskor_exchange_average,PPI_year,kor_usa_ir_diff,kr_standard_yield,rank,count,rating,paywellfare,worklifebal,culture,opportunity,manager,recommend,ceo,potential,crb_index_avg
BYC,001460,섬유의복,2018,9.694483901714458,2.182136462548938,0.44828521606022836,0.408777654055905,7.272733827594564,197864080352.0,124040904813.0,38687251077.0,19181901417.0,9.694483901714458,0.09694483901714458,738431267101.0,1.2313192305217444,19181901417.0,8790422481.0,3860076605.0,49052410181.0,70515691437.0,331027820118.0,407403446983.0,166537425312.0,139504863313.0,0.408777654055905,8.682008195725887,36.4069044767763,1.8125307298438569,82142589839.0,7668190224.0,0.9146183763394443,35201272347.0,0.4285386230942404,27032561999.0,11537425312.0,11.10550514537991,0.030426041494191536,153655290000.0,7530,1100.58,103.48,-0.29,1.75,,272.0,2.24,1.82,3.32,2.26,1.98,1.78,0.65,0.64,0.55,198.61355172413795
BYC,001460,섬유의복,2019,24.482999158016998,4.9469873765390435,0.374062275983155,0.25975635415313847,2.347028976212722,170589026967.0,101169466025.0,36275124513.0,41765310036.0,24.482999158016998,0.24482999158017,693882852856.0,4.004847449626627,41765310036.0,8442574613.0,11647125024.0,18715998757.0,-23228073503.0,259555399205.0,434327453651.0,112819315869.0,98024392855.0,0.25975635415313847,2.7012684874541657,9.340237816499824,1.5976030228417553,109379625182.0,8942260318.0,0.9244242915821351,72645553337.0,0.6641598306459993,14794923014.0,56319315869.0,12.674392344756471,0.03472436258837389,147721447500.0,8350,1166.11,103.5,-0.56,1.25,,272.0,2.24,1.82,3.32,2.26,1.98,1.78,0.65,0.64,0.55,187.79354406130267
BYC,001460,섬유의복,2020,17.440617269327795,4.752543560125019,0.3334637207213479,0.1862512324671948,1.3800292555889737,161863377007.0,93110793721.0,37823597095.0,28229972083.0,17.440617269327795,0.17440617269327796,679134863796.0,2.6924139153740345,28229972083.0,5939971244.0,14488793291.0,35408711119.0,9220404146.0,226466838553.0,452668025243.0,84309977600.0,38958187359.0,0.1862512324671948,2.9865413027018612,12.385306687698597,1.5002934290121965,121169200638.0,-4812886415.0,1.0413633454027769,81651427801.0,0.6738628906609557,45351790241.0,38809977600.0,9.78289810589161,0.026802460564086604,178952197500.0,8590,1180.01,103.03,0.29,0.5,,272.0,2.24,1.82,3.32,2.26,1.98,1.78,0.65,0.64,0.55,157.42230916030533
BYC,001460,섬유의복,2021,24.439855059906872,12.925327605117317,0.29604329414585906,0.05858587014300681,-0.5840788174286216,164445893789.0,94549164714.0,35853941946.0,40190338094.0,24.439855059906872,0.24439855059906873,684434512150.0,4.362066620985486,40190338094.0,3109425101.0,8555730683.0,35707429153.0,31940854342.0,202622247604.0,481812264546.0,28227390764.0,-23474325146.0,0.05858587014300681,0.7023427048058114,6.786766912766143,1.4205419050403916,130677556899.0,2661426665.0,0.9800401458458503,102383977377.0,0.7834855487551856,51701715910.0,28227390764.0,10.927186118740286,0.02993749621572681,281389057500.0,8720,1144.61,109.6,0.52,1.0,,272.0,2.24,1.82,3.32,2.26,1.98,1.78,0.65,0.64,0.55,222.12499233716474
BYC,001460,섬유의복,2022,28.356667355126262,13.862424129015723,0.2289447517232439,0.05482391425749517,-0.5568899690070991,169680336869.0,97946673770.0,39372632161.0,48115688693.0,28.356667355126262,0.28356667355126264,668872026401.0,5.275523664349681,48115688693.0,3470943339.0,12251693281.0,10468407024.0,-32853531917.0,153134740019.0,515737286382.0,28274736768.0,-26795144385.0,0.05482391425749517,0.5876406954996674,4.339754046984569,1.2969239263138619,79177003824.0,41005138471.0,0.6588083912637497,81761992413.0,1.0326482244105384,55069881153.0,28274736768.0,10.534336932098373,0.028861197074242118,228609090000.0,9160,1292.2,118.78,0.23,3.25,,272.0,2.24,1.82,3.32,2.26,1.98,1.78,0.65,0.64,0.55,304.6415576923077
CJ,001040,기타금융,2018,4.469888628063202,1.5688430696149902,0.6053580722526514,0.4691501538562087,3.3349708861838643,29523435477000.0,21170216737000.0,7020743532000.0,1319664685000.0,4.469888628063202,0.044698886280632025,31729548648000.0,2.7735259891743547,1319664685000.0,841170612000.0,277104316000.0,1541092351000.0,3667105224000.0,19207738403000.0,12521810245000.0,5874609203000.0,4401043304000.0,0.4691501538562087,4.451592339913225,21.82629889229411,2.5339426190929313,10998410550000.0,-2131302855000.0,1.24036054690097,6843446355000.0,0.6222213949814775,1473565899000.0,4106708423000.0,43.70114497041262,0.11972916430250033,3545005257000.0,7530,1100.58,103.48,-0.29,1.75,AA-,3036.0,3.18,3.36,2.91,3.08,2.9,2.87,0.65,0.76,0.44,198.61355172413795
CJ,001040,기타금융,2019,1.7675550706266026,0.547549808246669,0.6380735251940078,0.42261155624272806,7.660448190188421,33779706665000.0,24634400467000.0,7636151674000.0,597074918000.0,1.7675550706266026,0.017675550706266027,40381364593000.0,0.8019610537285738,597074918000.0,1090448593000.0,506961741000.0,3864576582000.0,8760297564000.0,25766279658000.0,14615084935000.0,6176503789000.0,4573861475000.0,0.42261155624272806,10.344604341594533,79.56415367397203,2.762992125779254,12283359396000.0,-1645134652000.0,1.1546437203188307,8089199416000.0,0.6585494371054711,1602642314000.0,3268625614000.0,38.68538547076812,0.10598735745415923,2818498006800.0,8350,1166.11,103.5,-0.56,1.25,AA-,3036.0,3.18,3.36,2.91,3.08,2.9,2.87,0.65,0.76,0.44,187.79354406130267
CJ,001040,기타금융,2020,1.6053505401411903,0.38455813921329574,0.6153344281885549,0.3999564044463409,6.919864694293437,31999102947000.0,23391528118000.0,7217234663000.0,513697772000.0,1.6053505401411903,0.016053505401411903,40024965069000.0,0.5097013767490017,513697772000.0,1335813027000.0,452428179000.0,3032814780000.0,4476593902000.0,24628738994000.0,15396226075000.0,6157819223000.0,3554719076000.0,0.3999564044463409,11.987241445540082,120.72449796257298,2.599660778818487,11422602369000.0,-345105549000.0,1.0311537484151587,8839350675000.0,0.7738473588986401,2603100147000.0,3092611322000.0,37.876138505739846,0.10377024248147902,2687201515800.0,8590,1180.01,103.03,0.29,0.5,AA-,3036.0,3.18,3.36,2.91,3.08,2.9,2.87,0.65,0.76,0.44,157.42230916030533
CJ,001040,기타금융,2021,3.7723248152675692,1.331731302485965,0.6076000628632344,0.3445800902982963,1.9057853442324175,34484026554000.0,24787913920000.0,7814312535000.0,1300849491000.0,3.7723248152675692,0.03772324815267569,41955995804000.0,1.9233524137283515,1300849491000.0,976810779000.0,543109508000.0,3353190728000.0,4976682339000.0,25492465688000.0,16463530116000.0,5673004694000.0,2479139895000.0,0.3445800902982963,4.3610000490056695,31.590677741965283,2.548420387874486,12546083570000.0,-525486753000.0,1.0437155293534874,9284727905000.0,0.7400499010863834,3193864799000.0,3205342324000.0,38.53404052581162,0.1055727137693469,2433361633200.0,8720,1144.61,109.6,0.52,1.0,AA-,3036.0,3.18,3.36,2.91,3.08,2.9,2.87,0.65,0.76,0.44,222.12499233716474
CJ,001040,기타금융,2022,2.580921478227161,0.7095542974150137,0.6323904769805455,0.45661923849274494,3.859204845389672,40924879773000.0,29696090453000.0,9074587530000.0,1056239012000.0,2.580921478227161,0.02580921478227161,48240408307000.0,1.4237974223371865,1056239012000.0,1488595046000.0,539886694000.0,4044985960000.0,8655812073000.0,30506774819000.0,17733633488000.0,8097518219000.0,4076242713000.0,0.45661923849274494,7.666369190120389,44.41576217650867,2.720277733248707,16950325414000.0,-1806505608000.0,1.1192899566385661,11436354303000.0,0.6746982151477885,4021275506000.0,5714650512000.0,39.297639533471184,0.10766476584512653,2453785531800.0,9160,1292.2,118.78,0.23,3.25,AA-,3036.0,3.18,3.36,2.91,3.08,2.9,2.87,0.65,0.76,0.44,304.6415576923077
CJ CGV,079160,서비스업,2018,-11.895886538970478,-0.8660152668058606,0.7536997000510367,1.3045955118172763,-2.530213695253546,1769356467477.0,0.0,834630000.0,-210480637841.0,-11.895886538970478,-0.11895886538970478,2234185992506.0,-8.438916351835182,-210480637841.0,243044950717.0,14552850075.0,105307635156.0,145301153810.0,1683905312410.0,550280680096.0,717893705493.0,532560992451.0,1.3045955118172763,-3.4107351291633146,-8.931237953166015,4.06008437751482,861419339061.0,-364387317045.0,1.7331264403589473,478259534516.0,0.5551994398423099,185332713042.0,196295281090.0,34.19956558142606,0.09369743994911248,786989230470.0,7530,1100.58,103.48,-0.29,1.75,,2553.0,3.4,3.47,3.06,3.22,3.02,2.89,0.92,0.89,0.58,198.61355172413795
CJ CGV,079160,서비스업,2019,-11.768041427053628,-0.9159670431694135,0.8671300463113238,0.9797606229487028,-1.0381130806596979,1942279329129.0,0.0,1820300000.0,-228568236081.0,-11.768041427053628,-0.11768041427053628,4524046865181.0,-5.284546224377695,-228568236081.0,249537620142.0,29635076997.0,283339456559.0,511815354915.0,3922936967719.0,601109897462.0,588943807598.0,237279675699.0,0.9797606229487028,-2.5766651468985837,-16.408789127649964,7.5261560062184705,1120212893223.0,-443200215997.0,1.6546409408653526,655441290198.0,0.5851042191740974,351664131899.0,235454749322.0,33.8870278129411,0.09284117209024959,663195549420.0,8350,1166.11,103.5,-0.56,1.25,,2553.0,3.4,3.47,3.06,3.22,3.02,2.89,0.92,0.89,0.58,187.79354406130267
CJ CGV,079160,서비스업,2020,-147.7862305054921,-2.468755930050314,0.9338933246584326,3.48642881292547,-0.37431539027002786,583443792479.0,0.0,972100000.0,-862249588023.0,-147.7862305054921,-1.477862305054921,4354856895866.0,-17.260003076255582,-862249588023.0,349264816958.0,32635907983.0,-268443869621.0,-142815950804.0,4066971784892.0,287885110974.0,1003690945712.0,322753291051.0,3.48642881292547,-1.164037605414579,-5.410736721960267,15.127065380811944,1311262165175.0,-361840238987.0,1.3811163709266918,933216368176.0,0.7116932013755264,680937654661.0,434721385427.0,44.20738693602324,0.1211161285918445,884520000000.0,8590,1180.01,103.03,0.29,0.5,,2553.0,3.4,3.47,3.06,3.22,3.02,2.89,0.92,0.89,0.58,157.42230916030533
CJ CGV,079160,서비스업,2021,-50.699459535778665,-1.928366184052202,0.920410520575007,2.9826519817751476,-1.5010794796258555,736315366659.0,0.0,977760000.0,-373307911375.0,-50.699459535778665,-0.5069945953577867,3785492375609.0,-8.949641769876678,-373307911375.0,193587667354.0,3025756269.0,-171876627587.0,148098237745.0,3484207008067.0,301285367542.0,898629398579.0,560364845347.0,2.9826519817751476,-2.407206949536886,-10.28432806856011,12.564474692191256,975423222361.0,-354777591654.0,1.5716266643976209,607878012955.0,0.6231941161741451,338264553232.0,431491898946.0,53.453989184756225,0.1464492854376883,1022208135600.0,8720,1144.61,109.6,0.52,1.0,,2553.0,3.4,3.47,3.06,3.22,3.02,2.89,0.92,0.89,0.58,222.12499233716474
