id,corp,stock_code,sector,main_product,listing_date,settlement_month,representative_name,homepage,region,rank,predicted_rank
32,LS네트웍스,680,"상품 종합 도매업","혁화,의류,등산용품 도매,제조/부동산 임대",1973-11-15,12월,문성준,http://www.lsnetworks.co.kr,경상남도,BBB,NULL
33,LX인터내셔널,1120,"상품 중개업","전자,기계,화공,유류.금속,의류 수출입,도소매",1976-01-30,12월,윤춘성,http://www.lxinternational.co.kr,서울특별시,AA-,NULL
34,LX하우시스,108670,"플라스틱제품 제조업","창호재, 자동차부품 등",2009-04-20,12월,한명호,http://www.lxhausys.com,서울특별시,A+,NULL
35,SBS,34120,"텔레비전 방송업","TV,라디오방송,광고",2003-06-25,12월,박정훈(단독대표),http://www.sbs.co.kr,서울특별시,AA,NULL
36,SGC에너지,5090,전기업,"증기, 전기, REC(신재생에너지공급인증서)",1993-01-06,12월,"이우성, 박준영, 이복영",http://www.sgcenergy.co.kr,서울특별시,A+,NULL
37,SK,34730,"기타 금융업","지주회사, 시스템통합(SI), 정보통신사업 관련 컨설팅,조사용역,정보통신기술 연구개발/정보통신기기,소프트웨어 개발,도매",2009-11-11,12월,"최태원, 장동현",http://www.sk-inc.com/,서울특별시,AA+,NULL
38,SKC,11790,"기타 화학제품 제조업","폴리에스테르필름,합성수지,LCD용 필름 제조",1997-07-18,12월,박원철,http://www.skc.kr,경기도,A+,NULL
39,SK가스,18670,"기타 전문 도매업","액화석유가스,가스기기 판매,수입,저장",1997-08-27,12월,윤병석,http://www.skgas.co.kr/,경기도,AA-,NULL
40,SK네트웍스,1740,"기타 전문 도매업","정보통신 유통, 자동차 관리, 글로벌 트레이딩, 호텔&리조트",1977-06-30,12월,이호정,http://www.sknetworks.co.kr,경기도,AA-,NULL
41,SK디스커버리,6120,"기타 금융업","화섬사(폴리에스테르원사(폴리에스터F,폴리에스터SF),폴리에스터직물,아세테이트),석유화학부문(TPA,DMT),섬유원료,직물,BOTTLE용CHIP,접착제,폴리우레탄 제조,",1976-06-29,12월,"최창원, 전광현",http://www.skdiscovery.com,경기도,A+,NULL
42,SK디앤디,210980,"부동산 임대 및 공급업","비주거용 부동산개발 및 임대(오피스, 지식산업센터, 호텔 등)",2015-06-23,12월,김도현,http://www.skdnd.com,경기도,BBB,NULL
43,SK렌터카,68400,"운송장비 임대업","승용자동차 임대",2012-07-27,12월,황일문,http://https://company.skcarrental.com,서울특별시,A+,NULL
44,SK이노베이션,96770,"석유 정제품 제조업","석유정제,석유화학제품,윤활유제품,아스팔트제품,의약중간체 제조,판매,유전개발,대체에너지사업",2007-07-25,12월,김준,http://www.SKinnovation.com,서울특별시,AA,NULL
45,SK케미칼,285130,"합성고무 및 플라스틱 물질 제조업","PETG 수지, PET 수지, 바이오디젤, 백신",2018-01-05,12월,"김철, 안재현",http://www.skchemicals.com,경기도,A+,NULL
46,SK텔레콤,17670,"전기 통신업","이동전화,무선호출서비스,부가통신",1989-11-07,12월,유영상,http://www.sktelecom.com,서울특별시,AA+,NULL
47,SK하이닉스,660,"반도체 제조업","반도체,컴퓨터,통신기기 제조,도매",1996-12-26,12월,"박정호, 곽노정 (각자대표)",http://www.skhynix.com,경기도,AA,NULL
48,TCC스틸,2710,"1차 철강 제조업","석도강판,표면처리강판 제조,판매",1984-12-21,12월,"손봉락, 조석희, 손기영 (각자대표)",http://www.tccsteel.com,경상북도,JB,NULL
49,TYM,2900,"특수 목적용 기계 제조업","농기계,연초용필터,금속제양식기,철강압연 제조,도매,수출입/신문서적 수출입,판매",1973-06-26,12월,"김희용, 김도훈",http://tym.world,서울특별시,BBB,NULL
50,가온전선,500,"절연선 및 케이블 제조업","전력선,통신케이블 제조,도매,수출입",1987-06-08,12월,"정 현",http://www.gaoncable.com,경기도,A,NULL
51,광동제약,9290,"의약품 제조업","의약품,식음료 제조,도매",1989-11-17,12월,최성원,http://www.ekdp.com,서울특별시,A,NULL
52,국도화학,7690,"기초 화학물질 제조업","에폭시수지,폴리아마이드수지,아염소산소다 제조,도소매",1989-08-05,12월,"이시창, 허연진",http://www.kukdo.com,서울특별시,A+,NULL
53,국동,5320,"생활용품 도매업","셔츠,스웨터,파자마(섬유제품) 제조,판매,수출/부동산 임대",1996-12-24,12월,우혁주,http://www.kd.co.kr,서울특별시,JB,NULL
54,금양,1570,"기초 화학물질 제조업","발포제,사카린,OPTSA,베나졸,TCA 제조",1976-12-17,12월,류광지,http://www.kyc.co.kr,부산광역시,JB,NULL
55,금호석유화학,11780,"기초 화학물질 제조업","합성고무 SBR(스티렌부타디엔러버),BR(폴리부타디엔러버),합성수지,BD,라텍스 제조,도소매",1988-01-22,12월,백종훈,http://www.kkpc.com,서울특별시,A+,NULL
56,금호에이치티,214330,"자동차 신품 부품 제조업","자동차용 전구 및 LED모듈",2015-11-11,12월,"김진곤, 김두인(각자대표)",http://www.kumhoht.co.kr,광주광역시,JB,NULL
57,금호전기,1210,"전구 및 조명장치 제조업","형광등,백열전구,전구식현광등,실드빔(차량용전조) 제조,판매",1973-11-15,12월,이홍민,http://www.khe.co.kr,서울특별시,JB,NULL
58,깨끗한나라,4540,"펄프, 종이 및 판지 제조업","펄프,판지원지,화장지 제조,수출입",1975-06-25,12월,"최현수, 김민환",http://www.kleannara.com,서울특별시,BBB,NULL
59,넥센타이어,2350,"고무제품 제조업","타이어,후랩,고무제타이어(승용자동차용,래디알구조) 제조",1976-05-19,12월,"대표이사 회 장 강병중 대표이사 부회장 강호찬 대표이사 사 장 이현종",http://www.nexentire.com,경상남도,A,NULL
60,넷마블,251270,"소프트웨어 개발 및 공급업","온라인·모바일 게임 소프트웨어 개발 및 공급",2017-05-12,12월,"권영식, 도기욱(각자 대표집행임원)",http://company.netmarble.com,서울특별시,A+,NULL
61,녹십자,6280,"의약품 제조업","알부민외 제조,판매",1989-08-01,12월,허은철,http://www.gccorp.com,경기도,A+,NULL
62,녹십자홀딩스,5250,"회사 본부 및 경영 컨설팅 서비스업","알부민,유로키나제,간염백신,유행성출혈열백신 제조",1978-08-28,12월,"허일섭, 허용준",http://www.gccorp.com,경기도,A+,NULL
63,다우기술,23590,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","인터넷솔루션 개발,도매,IT컨설팅,시스템 설계,자문,인터넷관련서비스/부동산분양,개발,임대",1997-08-27,12월,김윤덕,http://www.daou.co.kr,경기도,A,NULL
64,대상,1680,"기타 식품 제조업","전분,라이신,물엿,과당,포도당,MSG및 사료,조미료,항생제,핵산,커피 제조,도매/토목공사,건축공사",1970-04-01,12월,임정배,http://www.daesang.co.kr,서울특별시,AA-,NULL
65,대상홀딩스,84690,"기타 금융업",지주회사,2005-08-17,12월,"임창욱, 최성수 각자대표이사",NULL,서울특별시,AA-,NULL
66,대성에너지,117580,"연료용 가스 제조 및 배관공급업",천연가스,2010-12-24,12월,"대표이사 김영훈 대표이사 윤홍식",http://www.daesungenergy.com,대구광역시,A+,NULL
67,대성홀딩스,16710,"회사 본부 및 경영 컨설팅 서비스업","도시가스,일반가스 공급/가스기기,차량용 연료 판매/해외자원개발,부동산 임대",1999-12-22,12월,"대표이사 김영훈 대표이사 김정주",http://www.daesung-holdings.com,대구광역시,A+,NULL
68,대우건설,47040,"건물 건설업","아파트건설,토목공사,건축공사,포장공사,전기공사,무역/중장비 대여",2001-03-23,12월,백정완,http://daewooenc.com,서울특별시,A,NULL
69,대웅제약,69620,"의약품 제조업","양약,의료기기 제조/화장품,의약부의품 도소매/부동산 임대",2002-11-01,12월,"전승호, 이창재",http://www.daewoong.co.kr,경기도,A+,NULL
70,대유에이텍,2880,"자동차 신품 부품 제조업","자동차부품(자동차용 시트)제조",1977-02-18,12월,권의경,http://www.dayouat.co.kr,광주광역시,JB,NULL
71,대유플러스,300,"통신 및 방송 장비 제조업","유,무선 통신장비",1975-06-09,12월,박상민,http://www.dayouplus.co.kr,광주광역시,JB,NULL
72,대한방직,1070,"직물직조 및 직물제품 제조업","면사,화섬사,면직물 제조,판매,건설",1973-12-28,12월,"설 범, 김 인호",http://www.thtc.co.kr,서울특별시,JB,NULL
73,대한제당,1790,"곡물가공품, 전분 및 전분제품 제조업","제당,가축용 배합사료,설탕,기능성감미료(자일로올리고당),외식산 제조,도소매/부동산 임대",1968-12-27,12월,강승우,http://www.ts.co.kr,인천광역시,A-,NULL
74,대한항공,3490,"항공 여객 운송업","여객운송,화물운송,항공기 제조,판매,정비수리/기내식 제조판매,면세품 판매",1966-03-18,12월,"조원태, 우기홍",http://www.koreanair.com,서울특별시,BBB,NULL
75,더블유게임즈,192080,"소프트웨어 개발 및 공급업",모바일게임,2019-03-12,12월,김가람,http://www.doubleugames.com,서울특별시,A,NULL
76,동아쏘시오홀딩스,640,"기타 금융업","의약품(피로회복제/박카스,병원용의약품),비의약품(의료기기,염모제,가글제) 제조,도소매/화장품 생산",1970-02-10,12월,정재훈,http://www.donga.co.kr,서울특별시,A,NULL
77,동아에스티,170900,"의약품 제조업","스티렌, 자이데나",2013-04-08,12월,김민영,http://www.donga.co.kr,서울특별시,A+,NULL
